Name: Motor cortex [Glu0], Title: Raster plot from device '10147', Hist: False
312.6 :    4 : [6094, 6343, 6455, 6546]
312.7 :    2 : [5774, 6119]
312.8 :    2 : [5880, 6515]
312.9 :    2 : [6004, 6075]
313.0 :    1 : [5858]
313.2 :    3 : [5802, 6127, 6390]
313.3 :    1 : [6538]
313.7 :    1 : [6504]
313.8 :    2 : [5736, 5884]
314.0 :    1 : [5988]
314.5 :    1 : [5832]
314.7 :    2 : [6455, 6546]
314.9 :    2 : [5880, 6343]
315.0 :    2 : [5774, 6075]
315.1 :    1 : [5858]
315.2 :    1 : [6119]
315.3 :    2 : [6127, 6390]
315.7 :    1 : [5802]
315.9 :    2 : [5736, 6094]
316.2 :    2 : [6004, 6515]
316.6 :    1 : [6538]
316.7 :    1 : [5884]
316.8 :    1 : [6455]
317.0 :    1 : [6343]
317.1 :    2 : [5774, 6075]
317.2 :    1 : [5858]
317.5 :    2 : [5988, 6504]
317.7 :    1 : [6127]
317.8 :    1 : [5832]
318.0 :    2 : [6094, 6546]
318.1 :    1 : [5880]
318.5 :    1 : [6515]
318.7 :    2 : [6390, 6538]
319.0 :    1 : [5884]
319.3 :    2 : [6075, 6455]
319.4 :    2 : [5774, 6119]
319.6 :    1 : [6504]
319.7 :    2 : [5988, 6004]
320.0 :    1 : [5736]
320.2 :    1 : [5880]
320.3 :    1 : [6343]
320.6 :    2 : [5858, 6515]
321.0 :    1 : [6538]
321.1 :    2 : [5832, 5884]
321.2 :    1 : [6094]
321.4 :    2 : [6075, 6455]
321.5 :    2 : [5774, 6119]
321.7 :    1 : [6504]
321.8 :    1 : [5988]
321.9 :    2 : [6390, 6546]
322.1 :    1 : [5736]
322.3 :    1 : [5880]
322.4 :    1 : [6343]
322.7 :    1 : [5858]
323.1 :    2 : [6004, 6538]
323.2 :    2 : [5832, 5884]
323.3 :    2 : [6094, 6515]
323.5 :    2 : [6075, 6455]
324.0 :    1 : [6390]
324.3 :    1 : [5736]
324.6 :    1 : [6546]
324.7 :    1 : [6119]
324.9 :    1 : [5774]
325.3 :    2 : [5832, 6004]
325.4 :    2 : [6504, 6515]
325.5 :    1 : [5988]
325.6 :    1 : [6075]
325.7 :    1 : [6343]
325.8 :    1 : [5880]
326.1 :    1 : [6390]
326.5 :    1 : [5858]
327.3 :    1 : [6538]
410.5 :    3 : [6075, 6390, 6515]
410.6 :    2 : [5832, 5884]
410.7 :    3 : [5880, 6004, 6546]
410.8 :    2 : [5858, 6094]
410.9 :    2 : [6119, 6455]
411.0 :    1 : [5774]
411.4 :    1 : [6504]
411.5 :    1 : [6343]
411.6 :    1 : [6538]
411.7 :    1 : [5988]
412.6 :    1 : [6075]
412.7 :    1 : [5884]
412.8 :    5 : [5880, 6004, 6390, 6515, 6546]
412.9 :    2 : [5858, 6094]
413.0 :    1 : [6119]
413.1 :    1 : [5774]
413.5 :    1 : [6504]
413.6 :    1 : [6455]
413.7 :    1 : [6538]
413.8 :    1 : [5988]
413.9 :    1 : [5736]
414.3 :    1 : [5832]
414.9 :    3 : [5880, 6515, 6546]
415.1 :    1 : [6119]
415.6 :    1 : [6504]
415.8 :    1 : [6538]
415.9 :    3 : [5884, 6004, 6455]
416.0 :    1 : [5858]
416.1 :    1 : [6094]
416.2 :    1 : [6390]
416.4 :    1 : [5774]
417.2 :    1 : [5988]
417.5 :    1 : [5832]
418.0 :    3 : [5884, 6004, 6455]
418.1 :    1 : [5858]
418.2 :    2 : [6094, 6515]
418.3 :    2 : [5880, 6390]
418.4 :    1 : [6119]
418.5 :    2 : [5774, 6546]
419.0 :    1 : [6504]
419.3 :    1 : [5988]
419.4 :    1 : [6538]
419.6 :    1 : [5832]
420.1 :    1 : [6455]
420.2 :    1 : [5858]
420.4 :    1 : [5880]
420.5 :    1 : [6119]
420.6 :    2 : [5774, 6546]
421.1 :    1 : [6504]
421.3 :    1 : [6004]
421.4 :    2 : [6094, 6343]
421.5 :    2 : [6390, 6538]
421.8 :    1 : [5832]
422.2 :    1 : [5884]
422.3 :    1 : [5988]
422.5 :    2 : [5880, 6515]
422.7 :    1 : [6119]
422.9 :    1 : [5774]
423.3 :    1 : [5858]
423.4 :    1 : [6004]
423.5 :    1 : [6343]
423.6 :    1 : [6390]
423.9 :    3 : [5832, 6455, 6546]
424.2 :    1 : [5736]
424.3 :    1 : [6504]
424.9 :    3 : [5988, 6094, 6538]
425.2 :    1 : [5774]
425.3 :    1 : [6119]
425.4 :    1 : [5858]
425.8 :    1 : [5884]
426.1 :    1 : [5832]
426.2 :    2 : [6390, 6455]
426.4 :    1 : [6504]
427.1 :    1 : [6343]
427.4 :    1 : [6004]
427.7 :    1 : [6094]
428.5 :    1 : [6546]
510.5 :    3 : [5884, 6004, 6504]
510.6 :    3 : [5736, 6455, 6515]
510.8 :    1 : [6546]
510.9 :    1 : [6119]
511.1 :    1 : [6094]
511.3 :    3 : [5774, 5832, 6390]
511.5 :    2 : [5988, 6343]
512.0 :    2 : [5858, 6538]
512.6 :    2 : [5884, 6004]
512.7 :    2 : [6455, 6515]
513.1 :    1 : [5736]
513.2 :    1 : [6094]
513.4 :    3 : [5774, 5832, 6504]
513.5 :    2 : [6119, 6546]
513.6 :    1 : [5988]
513.8 :    1 : [6390]
513.9 :    1 : [6343]
514.6 :    1 : [5880]
514.7 :    1 : [6004]
514.8 :    1 : [6455]
515.1 :    1 : [6538]
515.2 :    1 : [5736]
515.4 :    1 : [5858]
515.5 :    2 : [5774, 6504]
515.6 :    1 : [6119]
515.8 :    1 : [5884]
515.9 :    1 : [6390]
516.0 :    1 : [6546]
516.1 :    1 : [6343]
516.2 :    1 : [6515]
516.8 :    2 : [6004, 6094]
516.9 :    1 : [5832]
517.0 :    2 : [5880, 5988]
517.2 :    1 : [6538]
517.3 :    1 : [5736]
517.5 :    1 : [5858]
517.6 :    1 : [5774]
517.8 :    1 : [6119]
517.9 :    1 : [5884]
518.0 :    1 : [6390]
