Name: SNr [GABA], Title: Raster plot from device '1513', Hist: False
107.9 :    1 : [434]
109.6 :    1 : [431]
110.0 :    1 : [434]
110.1 :    1 : [433]
111.7 :    1 : [431]
111.9 :    1 : [437]
112.1 :    1 : [434]
112.5 :    1 : [439]
113.8 :    1 : [431]
114.0 :    1 : [437]
114.6 :    1 : [439]
115.9 :    1 : [431]
116.1 :    1 : [437]
116.7 :    2 : [433, 439]
118.8 :    2 : [433, 439]
119.0 :    1 : [431]
120.9 :    1 : [433]
121.1 :    1 : [431]
123.2 :    1 : [431]
125.3 :    1 : [431]
125.7 :    1 : [439]
126.8 :    1 : [433]
127.8 :    1 : [439]
128.9 :    1 : [433]
129.6 :    1 : [431]
131.0 :    1 : [433]
131.7 :    1 : [431]
133.1 :    1 : [433]
133.7 :    1 : [436]
133.8 :    1 : [431]
133.9 :    1 : [439]
135.2 :    1 : [433]
135.8 :    1 : [436]
135.9 :    1 : [431]
136.0 :    1 : [439]
137.5 :    1 : [433]
138.1 :    1 : [439]
139.7 :    1 : [433]
140.0 :    1 : [431]
140.3 :    1 : [439]
142.1 :    1 : [431]
144.2 :    1 : [431]
145.7 :    1 : [439]
146.3 :    1 : [431]
147.8 :    1 : [439]
148.1 :    1 : [433]
149.9 :    2 : [431, 439]
150.2 :    1 : [433]
152.0 :    1 : [431]
152.1 :    1 : [439]
152.3 :    1 : [433]
154.1 :    1 : [431]
154.4 :    1 : [433]
156.2 :    1 : [431]
156.8 :    2 : [433, 439]
158.9 :    1 : [439]
159.0 :    2 : [431, 433]
161.0 :    1 : [439]
161.1 :    1 : [431]
163.2 :    2 : [431, 439]
165.3 :    1 : [431]
165.5 :    1 : [433]
167.6 :    1 : [433]
168.9 :    1 : [439]
169.3 :    1 : [431]
169.7 :    1 : [433]
171.0 :    1 : [439]
171.4 :    1 : [431]
171.9 :    1 : [436]
173.1 :    1 : [439]
173.5 :    1 : [431]
174.0 :    1 : [436]
175.3 :    1 : [439]
175.4 :    1 : [433]
175.6 :    1 : [431]
177.5 :    1 : [433]
179.5 :    1 : [431]
179.6 :    1 : [433]
180.3 :    1 : [439]
181.6 :    1 : [431]
181.8 :    1 : [433]
182.4 :    1 : [439]
183.7 :    1 : [431]
184.0 :    1 : [433]
185.8 :    1 : [431]
188.1 :    1 : [439]
188.6 :    1 : [433]
190.2 :    1 : [439]
190.6 :    1 : [431]
190.7 :    1 : [433]
192.3 :    1 : [439]
192.7 :    1 : [431]
194.6 :    1 : [439]
194.9 :    1 : [431]
196.2 :    1 : [433]
197.1 :    1 : [431]
198.3 :    1 : [433]
200.4 :    1 : [433]
200.6 :    1 : [439]
202.5 :    1 : [433]
202.6 :    1 : [431]
202.7 :    2 : [436, 439]
204.7 :    1 : [431]
204.8 :    3 : [433, 436, 439]
206.8 :    1 : [431]
206.9 :    1 : [436]
207.0 :    1 : [433]
207.1 :    1 : [439]
208.9 :    1 : [431]
209.0 :    1 : [436]
211.2 :    1 : [433]
213.1 :    1 : [439]
213.3 :    1 : [433]
215.2 :    1 : [439]
215.3 :    1 : [431]
215.5 :    1 : [433]
217.3 :    1 : [439]
217.4 :    1 : [431]
217.7 :    1 : [433]
219.5 :    1 : [431]
219.7 :    1 : [439]
221.6 :    1 : [431]
221.8 :    1 : [433]
223.9 :    1 : [433]
226.0 :    1 : [433]
226.3 :    1 : [431]
228.2 :    1 : [433]
228.4 :    1 : [431]
230.7 :    1 : [431]
231.9 :    1 : [436]
232.1 :    1 : [433]
232.9 :    1 : [431]
234.0 :    1 : [436]
234.2 :    1 : [433]
236.1 :    1 : [436]
236.3 :    1 : [433]
237.7 :    1 : [431]
238.2 :    1 : [436]
238.4 :    1 : [433]
239.8 :    1 : [431]
240.3 :    1 : [436]
240.6 :    1 : [439]
241.9 :    1 : [431]
242.7 :    1 : [439]
244.1 :    1 : [431]
244.8 :    1 : [439]
245.2 :    1 : [433]
246.8 :    1 : [431]
246.9 :    1 : [439]
247.3 :    1 : [433]
248.9 :    1 : [431]
249.0 :    1 : [439]
249.4 :    1 : [433]
251.1 :    2 : [431, 439]
253.2 :    1 : [431]
258.0 :    1 : [431]
260.1 :    1 : [431]
263.4 :    1 : [431]
265.5 :    1 : [431]
267.6 :    1 : [431]
267.9 :    1 : [439]
269.7 :    1 : [431]
270.0 :    1 : [439]
272.1 :    1 : [439]
274.2 :    1 : [439]
279.3 :    1 : [431]
281.4 :    1 : [431]
292.8 :    1 : [431]
294.9 :    1 : [431]
295.0 :    1 : [439]
