Name: DR  [5HT], Title: Raster plot from device '2470', Hist: False
413.2 :    1 : [255]
415.6 :    1 : [257]
416.7 :    2 : [252, 254]
417.6 :    1 : [253]
418.6 :    2 : [255, 259]
419.9 :    1 : [254]
420.2 :    1 : [253]
420.5 :    1 : [252]
421.9 :    1 : [255]
422.3 :    1 : [260]
423.4 :    1 : [253]
426.3 :    1 : [254]
427.2 :    1 : [253]
427.4 :    1 : [257]
429.9 :    1 : [260]
430.0 :    1 : [253]
431.0 :    1 : [252]
432.0 :    1 : [259]
432.9 :    1 : [253]
436.6 :    1 : [252]
436.8 :    1 : [253]
437.4 :    2 : [255, 257]
439.8 :    1 : [253]
444.9 :    1 : [254]
446.3 :    1 : [253]
446.8 :    1 : [257]
447.0 :    1 : [252]
448.0 :    1 : [255]
448.5 :    1 : [254]
450.3 :    1 : [259]
450.9 :    1 : [255]
451.4 :    1 : [257]
452.2 :    1 : [253]
453.9 :    1 : [254]
454.7 :    1 : [255]
455.3 :    1 : [253]
456.2 :    1 : [260]
456.6 :    1 : [252]
457.4 :    1 : [257]
457.7 :    1 : [254]
458.4 :    1 : [255]
459.0 :    1 : [253]
459.1 :    1 : [259]
461.5 :    1 : [257]
462.6 :    1 : [255]
463.2 :    1 : [253]
465.6 :    1 : [254]
466.0 :    1 : [255]
466.2 :    1 : [253]
467.9 :    1 : [259]
469.8 :    1 : [255]
470.0 :    1 : [254]
470.2 :    1 : [253]
472.6 :    1 : [257]
472.7 :    1 : [253]
473.0 :    1 : [255]
473.1 :    1 : [254]
475.0 :    1 : [252]
475.4 :    1 : [253]
476.8 :    1 : [260]
477.4 :    1 : [259]
477.9 :    1 : [255]
478.2 :    1 : [253]
481.1 :    1 : [255]
481.2 :    1 : [254]
482.6 :    1 : [253]
483.8 :    1 : [260]
484.9 :    1 : [255]
485.9 :    1 : [257]
487.3 :    2 : [253, 254]
487.6 :    1 : [259]
490.6 :    1 : [252]
491.5 :    1 : [253]
492.5 :    1 : [257]
495.2 :    1 : [253]
496.4 :    1 : [260]
496.6 :    1 : [257]
498.9 :    1 : [255]
499.5 :    1 : [260]
499.9 :    1 : [253]
500.2 :    1 : [252]
502.0 :    1 : [259]
502.4 :    1 : [260]
503.3 :    2 : [253, 255]
504.0 :    1 : [252]
505.0 :    1 : [254]
506.0 :    1 : [255]
506.4 :    1 : [257]
506.8 :    1 : [253]
508.8 :    1 : [254]
509.1 :    1 : [252]
509.5 :    1 : [253]
510.4 :    1 : [257]
712.7 :    1 : [258]
712.8 :    1 : [259]
714.1 :    1 : [260]
714.4 :    1 : [255]
715.9 :    1 : [258]
716.7 :    1 : [256]
717.4 :    1 : [257]
717.6 :    1 : [259]
719.3 :    1 : [260]
721.0 :    1 : [257]
721.2 :    2 : [256, 258]
721.4 :    1 : [259]
722.1 :    1 : [260]
724.2 :    1 : [256]
725.1 :    1 : [255]
725.8 :    1 : [260]
726.0 :    1 : [258]
727.6 :    1 : [256]
727.9 :    1 : [257]
729.3 :    1 : [255]
730.8 :    1 : [260]
730.9 :    1 : [258]
731.1 :    1 : [256]
735.0 :    1 : [259]
736.4 :    2 : [256, 257]
738.9 :    1 : [260]
739.0 :    1 : [255]
739.5 :    1 : [259]
739.6 :    1 : [258]
740.1 :    2 : [256, 257]
742.0 :    1 : [260]
742.6 :    1 : [258]
743.1 :    1 : [255]
743.4 :    1 : [259]
744.4 :    1 : [256]
745.2 :    1 : [260]
745.5 :    1 : [257]
746.2 :    1 : [255]
748.4 :    1 : [259]
748.5 :    1 : [258]
748.6 :    1 : [256]
749.0 :    2 : [255, 260]
751.9 :    1 : [259]
752.8 :    2 : [255, 256]
753.1 :    1 : [260]
753.2 :    1 : [257]
755.2 :    1 : [258]
755.7 :    1 : [256]
758.1 :    1 : [259]
758.4 :    1 : [255]
758.6 :    1 : [258]
758.9 :    1 : [256]
759.7 :    1 : [257]
761.1 :    1 : [255]
761.2 :    1 : [259]
764.0 :    1 : [259]
764.1 :    1 : [257]
765.1 :    1 : [260]
765.7 :    1 : [255]
766.6 :    1 : [256]
766.9 :    1 : [259]
768.4 :    1 : [260]
770.2 :    1 : [258]
770.6 :    1 : [259]
770.8 :    1 : [257]
771.9 :    1 : [260]
772.8 :    1 : [256]
773.7 :    1 : [258]
774.3 :    1 : [259]
774.8 :    1 : [260]
775.8 :    1 : [257]
776.5 :    1 : [258]
776.8 :    1 : [255]
777.3 :    1 : [259]
777.5 :    1 : [260]
779.6 :    1 : [256]
779.9 :    1 : [259]
781.1 :    1 : [257]
782.3 :    2 : [258, 260]
782.5 :    1 : [256]
783.1 :    1 : [255]
785.6 :    1 : [258]
786.1 :    1 : [256]
786.4 :    1 : [257]
788.2 :    1 : [259]
789.2 :    1 : [258]
789.4 :    1 : [260]
790.2 :    1 : [256]
791.2 :    1 : [259]
792.0 :    1 : [258]
792.2 :    1 : [255]
795.0 :    1 : [256]
796.4 :    1 : [255]
798.1 :    1 : [256]
799.0 :    1 : [259]
799.4 :    1 : [258]
800.2 :    1 : [257]
800.9 :    1 : [256]
802.0 :    1 : [259]
803.4 :    1 : [260]
804.1 :    1 : [256]
804.6 :    1 : [258]
804.8 :    1 : [259]
805.1 :    2 : [255, 257]
806.8 :    1 : [260]
807.9 :    1 : [259]
808.9 :    1 : [256]
809.2 :    1 : [258]
811.0 :    1 : [259]
