Name: MnR  [5HT], Title: Raster plot from device '20290', Hist: False
412.9 :    1 : [186]
413.4 :    1 : [182]
413.7 :    1 : [190]
413.8 :    1 : [185]
416.4 :    1 : [182]
417.4 :    1 : [181]
417.6 :    1 : [190]
418.6 :    1 : [185]
419.3 :    1 : [186]
419.7 :    1 : [182]
420.6 :    1 : [181]
421.4 :    1 : [189]
422.2 :    1 : [186]
423.0 :    1 : [182]
425.2 :    1 : [186]
425.7 :    2 : [184, 190]
426.0 :    1 : [185]
427.7 :    1 : [182]
428.2 :    1 : [189]
428.4 :    1 : [186]
428.6 :    1 : [181]
429.9 :    1 : [185]
431.3 :    1 : [190]
431.6 :    1 : [182]
431.8 :    1 : [181]
432.5 :    1 : [186]
432.9 :    1 : [185]
434.4 :    1 : [188]
435.4 :    1 : [182]
436.0 :    2 : [186, 190]
437.2 :    1 : [184]
437.4 :    1 : [181]
438.0 :    1 : [185]
438.1 :    1 : [182]
440.6 :    1 : [184]
441.0 :    1 : [182]
441.5 :    1 : [186]
441.6 :    1 : [188]
443.9 :    1 : [184]
444.0 :    1 : [190]
445.6 :    1 : [186]
445.7 :    1 : [182]
446.5 :    1 : [189]
449.3 :    1 : [190]
450.1 :    1 : [182]
450.6 :    1 : [189]
452.0 :    2 : [184, 186]
453.2 :    1 : [181]
454.3 :    1 : [182]
455.9 :    1 : [186]
456.2 :    1 : [190]
456.8 :    1 : [189]
458.3 :    1 : [188]
459.6 :    1 : [186]
460.1 :    1 : [185]
460.7 :    1 : [182]
462.5 :    1 : [186]
463.6 :    1 : [182]
464.1 :    1 : [185]
465.3 :    1 : [190]
466.4 :    1 : [182]
466.7 :    1 : [186]
467.1 :    1 : [189]
467.7 :    1 : [181]
468.4 :    1 : [184]
468.6 :    1 : [188]
469.0 :    1 : [185]
469.5 :    1 : [182]
472.1 :    1 : [188]
472.3 :    1 : [186]
472.5 :    1 : [182]
472.8 :    1 : [185]
475.3 :    1 : [186]
476.0 :    1 : [185]
476.8 :    1 : [190]
477.2 :    1 : [182]
479.4 :    1 : [188]
480.2 :    1 : [185]
480.4 :    1 : [184]
480.5 :    1 : [189]
480.6 :    1 : [186]
481.2 :    1 : [182]
482.2 :    1 : [190]
482.7 :    1 : [181]
483.7 :    1 : [186]
485.4 :    1 : [182]
485.6 :    1 : [188]
487.9 :    1 : [185]
489.5 :    1 : [189]
490.2 :    1 : [188]
490.7 :    1 : [182]
493.1 :    1 : [186]
494.3 :    1 : [190]
494.4 :    1 : [181]
495.8 :    1 : [182]
496.1 :    1 : [186]
498.1 :    1 : [184]
499.0 :    1 : [186]
499.5 :    1 : [182]
500.2 :    1 : [188]
501.8 :    1 : [185]
502.5 :    1 : [182]
503.5 :    1 : [186]
504.8 :    1 : [188]
505.1 :    1 : [185]
505.3 :    1 : [181]
505.6 :    1 : [190]
505.7 :    1 : [184]
506.4 :    2 : [182, 186]
507.7 :    1 : [188]
507.8 :    1 : [189]
509.5 :    1 : [186]
510.0 :    1 : [190]
