Name: DR  [5HT], Title: Raster plot from device '20297', Hist: False
412.2 :    1 : [260]
413.2 :    1 : [253]
413.4 :    1 : [256]
413.8 :    1 : [259]
415.4 :    1 : [252]
415.5 :    1 : [260]
416.0 :    1 : [257]
417.9 :    1 : [259]
421.0 :    3 : [252, 256, 257]
421.5 :    1 : [260]
422.8 :    1 : [258]
424.2 :    1 : [252]
425.7 :    1 : [253]
426.4 :    1 : [259]
426.6 :    1 : [257]
426.7 :    1 : [256]
426.8 :    1 : [260]
427.3 :    1 : [252]
427.9 :    1 : [254]
429.7 :    1 : [258]
429.9 :    1 : [256]
431.1 :    1 : [257]
432.2 :    1 : [254]
432.7 :    1 : [252]
433.9 :    1 : [253]
434.3 :    1 : [256]
435.4 :    1 : [254]
435.8 :    1 : [260]
436.7 :    1 : [253]
437.4 :    1 : [259]
437.6 :    1 : [257]
439.5 :    1 : [252]
439.9 :    1 : [254]
440.9 :    1 : [259]
441.6 :    1 : [257]
442.4 :    1 : [256]
442.5 :    1 : [260]
443.2 :    1 : [258]
445.1 :    1 : [257]
445.9 :    1 : [256]
446.8 :    1 : [258]
448.4 :    1 : [253]
449.7 :    1 : [260]
451.8 :    1 : [257]
451.9 :    1 : [253]
452.0 :    1 : [256]
452.5 :    2 : [252, 258]
452.9 :    1 : [254]
455.4 :    1 : [256]
455.8 :    1 : [260]
456.4 :    1 : [259]
456.7 :    1 : [257]
457.1 :    1 : [258]
459.8 :    1 : [256]
460.3 :    1 : [254]
460.4 :    1 : [252]
460.8 :    1 : [259]
461.4 :    1 : [257]
462.6 :    1 : [260]
463.4 :    1 : [254]
464.1 :    1 : [257]
464.4 :    1 : [258]
465.2 :    1 : [253]
465.5 :    1 : [252]
465.6 :    1 : [256]
466.8 :    1 : [260]
469.1 :    2 : [253, 254]
469.4 :    1 : [256]
470.3 :    1 : [252]
470.7 :    1 : [260]
471.8 :    1 : [257]
472.5 :    2 : [256, 259]
473.5 :    1 : [253]
474.0 :    1 : [252]
474.5 :    1 : [257]
474.7 :    1 : [258]
475.6 :    1 : [256]
476.1 :    1 : [259]
476.8 :    1 : [254]
477.6 :    1 : [260]
477.8 :    1 : [257]
478.3 :    1 : [256]
479.9 :    1 : [252]
480.1 :    1 : [259]
480.3 :    1 : [258]
481.6 :    1 : [256]
483.8 :    1 : [253]
483.9 :    1 : [259]
484.6 :    1 : [258]
484.9 :    1 : [256]
486.4 :    1 : [257]
486.7 :    2 : [252, 259]
488.0 :    1 : [256]
490.9 :    1 : [256]
491.1 :    1 : [254]
491.2 :    1 : [253]
491.4 :    1 : [259]
491.8 :    1 : [257]
494.2 :    1 : [260]
494.9 :    1 : [256]
495.0 :    1 : [254]
495.1 :    1 : [257]
497.9 :    1 : [258]
498.7 :    2 : [257, 259]
499.2 :    1 : [256]
500.8 :    1 : [254]
501.9 :    1 : [257]
502.1 :    1 : [256]
502.4 :    1 : [259]
504.8 :    1 : [256]
505.6 :    2 : [257, 259]
507.9 :    1 : [256]
508.3 :    1 : [252]
509.0 :    1 : [254]
510.3 :    1 : [259]
510.9 :    1 : [258]
