Name: DR  [5HT], Title: Raster plot from device '2470', Hist: False
412.5 :    1 : [257]
413.2 :    1 : [252]
416.9 :    1 : [252]
418.6 :    1 : [257]
419.0 :    1 : [260]
420.0 :    2 : [252, 255]
421.6 :    1 : [260]
423.0 :    1 : [252]
423.2 :    1 : [258]
424.4 :    1 : [260]
424.9 :    1 : [257]
425.7 :    1 : [252]
427.1 :    1 : [260]
428.5 :    1 : [257]
429.3 :    1 : [254]
430.4 :    1 : [260]
431.3 :    1 : [257]
433.1 :    2 : [252, 255]
433.4 :    1 : [260]
436.2 :    1 : [257]
438.0 :    1 : [258]
439.0 :    1 : [257]
439.1 :    1 : [252]
439.8 :    1 : [260]
442.5 :    1 : [257]
443.2 :    1 : [252]
445.7 :    1 : [257]
448.6 :    1 : [257]
449.2 :    1 : [254]
450.6 :    1 : [255]
451.1 :    1 : [257]
451.8 :    1 : [260]
453.8 :    1 : [257]
454.4 :    1 : [255]
456.1 :    1 : [260]
457.2 :    1 : [257]
457.4 :    1 : [252]
459.0 :    1 : [260]
460.9 :    1 : [257]
462.3 :    1 : [258]
462.5 :    1 : [260]
463.2 :    1 : [255]
463.6 :    1 : [257]
463.7 :    1 : [254]
465.7 :    1 : [260]
466.1 :    1 : [257]
469.1 :    1 : [254]
469.5 :    1 : [258]
469.6 :    1 : [260]
470.6 :    1 : [257]
471.6 :    1 : [252]
472.4 :    1 : [258]
473.1 :    1 : [260]
474.1 :    1 : [254]
474.6 :    1 : [255]
475.3 :    1 : [257]
476.3 :    1 : [258]
476.7 :    1 : [252]
477.6 :    1 : [260]
478.5 :    1 : [254]
479.4 :    1 : [252]
479.8 :    1 : [257]
482.1 :    2 : [252, 255]
482.2 :    1 : [260]
483.0 :    1 : [257]
484.9 :    1 : [260]
485.1 :    3 : [252, 254, 255]
486.0 :    1 : [257]
488.1 :    1 : [260]
489.0 :    1 : [257]
489.5 :    1 : [254]
492.1 :    1 : [257]
492.3 :    1 : [254]
493.1 :    1 : [252]
493.4 :    1 : [260]
494.6 :    1 : [255]
497.0 :    1 : [252]
497.2 :    1 : [257]
497.5 :    1 : [254]
497.7 :    1 : [260]
500.0 :    1 : [257]
500.6 :    1 : [252]
500.9 :    1 : [260]
501.5 :    1 : [255]
502.5 :    1 : [258]
502.6 :    1 : [257]
503.5 :    1 : [260]
504.0 :    1 : [252]
505.2 :    1 : [257]
506.2 :    1 : [260]
508.0 :    1 : [252]
508.3 :    2 : [255, 257]
508.8 :    1 : [254]
510.8 :    1 : [252]
512.2 :    1 : [255]
713.2 :    1 : [260]
714.7 :    1 : [251]
714.8 :    1 : [256]
716.6 :    1 : [260]
718.6 :    1 : [251]
720.5 :    1 : [253]
721.1 :    1 : [256]
721.5 :    1 : [251]
721.6 :    1 : [260]
724.1 :    1 : [259]
724.3 :    1 : [260]
725.6 :    1 : [256]
727.2 :    2 : [251, 260]
728.9 :    1 : [255]
730.0 :    2 : [251, 260]
730.6 :    1 : [259]
732.0 :    1 : [255]
733.6 :    1 : [259]
733.7 :    1 : [256]
734.7 :    1 : [260]
735.3 :    1 : [253]
735.9 :    1 : [255]
736.6 :    1 : [256]
737.7 :    1 : [260]
738.7 :    1 : [251]
738.9 :    1 : [253]
739.5 :    1 : [255]
739.9 :    1 : [259]
740.1 :    1 : [256]
741.8 :    1 : [251]
742.8 :    1 : [260]
742.9 :    1 : [255]
743.6 :    1 : [256]
746.0 :    1 : [260]
747.2 :    1 : [255]
747.5 :    1 : [259]
748.1 :    1 : [251]
749.3 :    2 : [256, 260]
751.0 :    1 : [253]
751.1 :    1 : [251]
752.0 :    1 : [260]
752.1 :    1 : [256]
754.9 :    1 : [251]
755.0 :    1 : [253]
755.4 :    1 : [256]
756.4 :    1 : [260]
758.6 :    1 : [255]
759.3 :    1 : [260]
759.4 :    2 : [253, 256]
761.5 :    1 : [251]
762.5 :    1 : [255]
762.8 :    1 : [260]
764.6 :    1 : [253]
764.8 :    1 : [251]
767.0 :    1 : [256]
767.4 :    1 : [260]
768.0 :    1 : [251]
768.4 :    1 : [253]
768.7 :    1 : [259]
769.7 :    1 : [255]
770.6 :    1 : [260]
771.7 :    1 : [256]
771.8 :    1 : [251]
774.1 :    1 : [255]
774.3 :    1 : [260]
774.8 :    1 : [253]
775.0 :    1 : [259]
777.1 :    1 : [260]
780.2 :    1 : [251]
780.6 :    1 : [260]
781.2 :    1 : [259]
782.6 :    1 : [255]
783.5 :    1 : [260]
784.2 :    2 : [256, 259]
784.6 :    1 : [251]
786.4 :    1 : [260]
787.4 :    1 : [256]
787.5 :    1 : [251]
788.4 :    1 : [253]
789.0 :    1 : [260]
790.1 :    1 : [255]
790.4 :    1 : [251]
791.4 :    1 : [260]
791.5 :    1 : [256]
793.0 :    1 : [255]
794.2 :    1 : [259]
794.4 :    1 : [260]
795.4 :    1 : [251]
795.8 :    1 : [255]
797.3 :    1 : [260]
797.7 :    1 : [259]
798.0 :    1 : [256]
800.2 :    1 : [260]
801.0 :    1 : [259]
802.7 :    1 : [260]
804.1 :    1 : [256]
806.2 :    1 : [251]
807.0 :    1 : [260]
807.2 :    1 : [256]
808.8 :    1 : [259]
809.0 :    1 : [251]
809.7 :    1 : [260]
