Name: Thalamus [Glu], Title: Raster plot from device '20337', Hist: False
128.8 :    2 : [1370, 1373]
129.0 :    1 : [1342]
129.1 :    1 : [1312]
129.6 :    1 : [1402]
129.8 :    2 : [1339, 1374]
130.0 :    1 : [1411]
130.1 :    2 : [1318, 1399]
130.2 :    3 : [1319, 1347, 1359]
130.3 :    3 : [1313, 1398, 1409]
130.4 :    3 : [1328, 1336, 1382]
130.5 :    2 : [1340, 1394]
130.6 :    2 : [1343, 1350]
130.7 :    1 : [1324]
130.8 :    1 : [1367]
131.2 :    4 : [1325, 1344, 1363, 1397]
131.3 :    1 : [1326]
131.4 :    3 : [1354, 1383, 1401]
131.8 :    1 : [1342]
131.9 :    4 : [1312, 1346, 1349, 1392]
132.3 :    3 : [1357, 1391, 1402]
132.6 :    1 : [1338]
132.7 :    1 : [1411]
132.8 :    2 : [1318, 1323]
133.1 :    4 : [1319, 1347, 1359, 1360]
133.3 :    2 : [1340, 1394]
133.4 :    1 : [1343]
133.5 :    2 : [1324, 1350]
134.0 :    3 : [1325, 1344, 1363]
134.2 :    1 : [1397]
135.7 :    1 : [1338]
136.0 :    1 : [1360]
136.6 :    1 : [1402]
140.6 :    1 : [1375]
141.9 :    1 : [1332]
142.5 :    1 : [1327]
143.4 :    1 : [1375]
144.3 :    1 : [1384]
144.7 :    1 : [1332]
144.8 :    1 : [1320]
145.0 :    1 : [1351]
145.3 :    1 : [1327]
146.2 :    1 : [1404]
146.3 :    1 : [1361]
146.4 :    1 : [1403]
146.6 :    1 : [1334]
146.8 :    1 : [1385]
146.9 :    1 : [1314]
147.1 :    1 : [1368]
147.2 :    1 : [1371]
147.6 :    1 : [1345]
147.7 :    1 : [1352]
147.8 :    2 : [1351, 1395]
147.9 :    1 : [1331]
148.1 :    2 : [1365, 1393]
148.2 :    1 : [1333]
148.4 :    1 : [1381]
149.2 :    1 : [1316]
149.3 :    2 : [1390, 1403]
149.4 :    3 : [1317, 1334, 1407]
149.7 :    1 : [1314]
149.8 :    1 : [1348]
150.0 :    1 : [1368]
150.5 :    1 : [1380]
150.6 :    1 : [1345]
150.9 :    2 : [1331, 1393]
151.0 :    1 : [1353]
151.1 :    4 : [1335, 1365, 1381, 1400]
151.4 :    1 : [1329]
151.5 :    1 : [1387]
152.0 :    2 : [1386, 1405]
152.1 :    1 : [1388]
152.2 :    1 : [1317]
152.3 :    1 : [1407]
152.4 :    1 : [1322]
152.6 :    2 : [1321, 1389]
152.7 :    1 : [1369]
153.3 :    1 : [1380]
153.7 :    1 : [1353]
153.9 :    1 : [1335]
154.0 :    1 : [1400]
154.2 :    1 : [1329]
154.3 :    1 : [1387]
154.8 :    3 : [1386, 1388, 1405]
155.3 :    1 : [1322]
155.4 :    1 : [1321]
155.6 :    1 : [1389]
157.5 :    1 : [1388]
159.0 :    1 : [1330]
159.5 :    1 : [1315]
159.7 :    1 : [1358]
159.8 :    1 : [1373]
160.9 :    2 : [1356, 1370]
161.1 :    1 : [1336]
161.5 :    1 : [1382]
161.8 :    1 : [1330]
162.0 :    2 : [1313, 1409]
162.1 :    2 : [1398, 1408]
162.4 :    2 : [1354, 1372]
162.5 :    1 : [1367]
162.6 :    1 : [1315]
162.9 :    3 : [1374, 1379, 1392]
163.0 :    1 : [1401]
163.1 :    1 : [1357]
163.3 :    1 : [1328]
163.5 :    1 : [1346]
163.7 :    1 : [1370]
163.8 :    2 : [1336, 1391]
163.9 :    1 : [1356]
164.0 :    1 : [1364]
164.2 :    1 : [1339]
164.3 :    2 : [1377, 1382]
164.4 :    1 : [1378]
164.5 :    1 : [1349]
164.7 :    1 : [1313]
164.8 :    1 : [1409]
164.9 :    1 : [1408]
165.0 :    1 : [1398]
165.2 :    2 : [1354, 1372]
165.3 :    1 : [1367]
165.5 :    1 : [1323]
165.6 :    1 : [1374]
165.7 :    3 : [1379, 1392, 1401]
165.9 :    1 : [1357]
166.3 :    1 : [1346]
166.5 :    1 : [1328]
166.8 :    1 : [1364]
167.1 :    2 : [1339, 1376]
167.2 :    1 : [1378]
167.3 :    1 : [1349]
167.4 :    1 : [1396]
168.0 :    1 : [1391]
168.3 :    1 : [1323]
168.7 :    2 : [1337, 1410]
169.2 :    1 : [1341]
169.6 :    1 : [1406]
169.9 :    1 : [1355]
170.0 :    1 : [1376]
170.2 :    2 : [1362, 1396]
170.9 :    1 : [1366]
171.9 :    1 : [1399]
172.4 :    1 : [1406]
172.5 :    1 : [1383]
172.7 :    1 : [1355]
173.4 :    1 : [1326]
173.6 :    1 : [1366]
174.0 :    1 : [1411]
174.7 :    2 : [1312, 1399]
175.3 :    2 : [1342, 1383]
175.4 :    2 : [1340, 1371]
175.6 :    1 : [1394]
175.8 :    2 : [1361, 1385]
175.9 :    3 : [1319, 1350, 1384]
176.2 :    1 : [1326]
176.8 :    2 : [1344, 1411]
177.0 :    1 : [1320]
177.6 :    1 : [1404]
178.3 :    1 : [1371]
178.4 :    1 : [1340]
178.6 :    1 : [1384]
178.7 :    1 : [1319]
178.8 :    2 : [1350, 1395]
178.9 :    1 : [1394]
179.2 :    1 : [1333]
179.4 :    1 : [1316]
179.9 :    1 : [1320]
180.4 :    1 : [1404]
180.8 :    1 : [1352]
181.1 :    1 : [1360]
182.4 :    1 : [1316]
182.5 :    1 : [1390]
182.7 :    2 : [1318, 1348]
183.9 :    1 : [1360]
184.4 :    1 : [1359]
184.6 :    1 : [1325]
185.0 :    1 : [1369]
185.4 :    2 : [1343, 1390]
186.7 :    1 : [1375]
187.1 :    1 : [1359]
187.3 :    1 : [1325]
187.8 :    1 : [1369]
188.1 :    1 : [1343]
188.6 :    1 : [1363]
188.8 :    1 : [1338]
191.3 :    2 : [1324, 1397]
191.4 :    1 : [1363]
191.5 :    1 : [1358]
191.7 :    1 : [1373]
193.4 :    1 : [1327]
193.7 :    2 : [1334, 1347]
193.8 :    2 : [1332, 1402]
194.0 :    1 : [1351]
194.2 :    1 : [1393]
194.3 :    1 : [1358]
194.4 :    1 : [1403]
194.9 :    1 : [1314]
195.3 :    1 : [1377]
196.3 :    1 : [1327]
196.8 :    1 : [1407]
196.9 :    2 : [1317, 1351]
197.1 :    1 : [1353]
197.2 :    1 : [1403]
197.3 :    1 : [1331]
197.4 :    1 : [1329]
197.6 :    3 : [1314, 1365, 1368]
197.7 :    1 : [1345]
197.8 :    1 : [1380]
197.9 :    1 : [1405]
198.1 :    1 : [1381]
198.2 :    1 : [1321]
198.3 :    1 : [1400]
198.4 :    1 : [1386]
198.5 :    2 : [1335, 1387]
199.0 :    1 : [1389]
199.2 :    1 : [1322]
