Name: DR  [5HT], Title: Raster plot from device '20311', Hist: False
411.9 :    1 : [252]
413.1 :    1 : [256]
416.6 :    1 : [260]
417.8 :    1 : [256]
418.0 :    1 : [259]
418.1 :    1 : [258]
418.8 :    1 : [252]
420.0 :    1 : [260]
420.6 :    1 : [256]
420.8 :    1 : [258]
423.2 :    1 : [252]
423.6 :    1 : [256]
426.5 :    1 : [256]
427.1 :    1 : [253]
428.1 :    1 : [252]
429.3 :    1 : [258]
429.8 :    1 : [260]
430.0 :    1 : [256]
431.2 :    1 : [252]
433.2 :    1 : [256]
436.2 :    1 : [256]
436.5 :    1 : [259]
436.8 :    1 : [253]
437.0 :    1 : [252]
438.8 :    1 : [256]
440.5 :    1 : [252]
440.8 :    1 : [258]
441.4 :    1 : [256]
443.8 :    1 : [252]
444.1 :    1 : [256]
446.2 :    1 : [253]
446.5 :    1 : [258]
446.6 :    1 : [256]
446.7 :    1 : [252]
446.8 :    1 : [259]
449.7 :    1 : [256]
451.1 :    1 : [252]
452.4 :    1 : [258]
453.0 :    1 : [256]
453.8 :    1 : [252]
454.6 :    1 : [259]
455.8 :    1 : [256]
455.9 :    1 : [258]
456.7 :    1 : [253]
458.1 :    1 : [252]
458.9 :    1 : [256]
459.1 :    1 : [259]
461.3 :    1 : [252]
461.9 :    1 : [256]
462.3 :    1 : [259]
463.3 :    1 : [260]
464.2 :    1 : [258]
464.4 :    1 : [252]
464.7 :    1 : [256]
465.6 :    1 : [253]
467.5 :    2 : [252, 256]
470.0 :    1 : [260]
470.4 :    1 : [258]
470.8 :    1 : [256]
471.2 :    1 : [252]
473.6 :    1 : [258]
474.0 :    1 : [256]
474.3 :    1 : [260]
474.5 :    1 : [252]
474.8 :    1 : [253]
474.9 :    1 : [259]
476.9 :    1 : [258]
477.1 :    1 : [256]
477.4 :    1 : [260]
480.3 :    1 : [260]
480.5 :    1 : [256]
481.3 :    1 : [252]
481.7 :    1 : [253]
482.0 :    1 : [259]
482.6 :    1 : [258]
483.4 :    1 : [256]
484.9 :    2 : [252, 260]
485.2 :    1 : [253]
486.1 :    1 : [256]
487.9 :    1 : [252]
489.0 :    1 : [256]
489.1 :    1 : [259]
489.6 :    1 : [253]
490.2 :    1 : [260]
491.0 :    1 : [258]
491.3 :    1 : [252]
492.0 :    1 : [259]
492.1 :    1 : [256]
494.4 :    1 : [258]
496.1 :    1 : [256]
496.3 :    1 : [252]
498.2 :    1 : [259]
498.9 :    1 : [253]
499.1 :    1 : [256]
501.5 :    1 : [256]
503.5 :    1 : [260]
504.1 :    2 : [253, 256]
506.8 :    2 : [252, 259]
507.1 :    1 : [258]
507.6 :    1 : [253]
507.9 :    1 : [260]
508.2 :    1 : [256]
510.4 :    1 : [259]
510.9 :    1 : [256]
711.7 :    1 : [256]
712.7 :    1 : [254]
714.8 :    1 : [255]
715.5 :    1 : [256]
715.7 :    1 : [259]
715.8 :    1 : [251]
716.8 :    1 : [254]
719.9 :    1 : [259]
720.1 :    1 : [251]
721.1 :    1 : [256]
721.2 :    1 : [254]
721.9 :    1 : [257]
723.3 :    1 : [253]
723.4 :    1 : [251]
723.6 :    1 : [259]
725.7 :    1 : [257]
725.9 :    1 : [255]
726.0 :    1 : [251]
726.2 :    1 : [254]
727.8 :    1 : [256]
730.5 :    1 : [256]
731.2 :    1 : [255]
733.4 :    1 : [257]
733.7 :    1 : [256]
733.8 :    1 : [253]
734.1 :    1 : [259]
735.4 :    1 : [255]
735.7 :    1 : [251]
735.8 :    1 : [254]
737.9 :    1 : [259]
738.0 :    1 : [256]
739.6 :    1 : [257]
740.1 :    1 : [251]
740.4 :    1 : [253]
741.4 :    1 : [256]
742.6 :    1 : [255]
743.4 :    1 : [257]
745.1 :    1 : [256]
745.2 :    2 : [254, 259]
746.0 :    1 : [251]
747.4 :    1 : [257]
748.8 :    1 : [256]
749.2 :    1 : [251]
749.7 :    1 : [259]
751.6 :    1 : [256]
752.5 :    1 : [251]
753.0 :    1 : [259]
754.3 :    1 : [257]
755.4 :    1 : [256]
755.8 :    1 : [251]
757.5 :    1 : [259]
758.7 :    1 : [251]
759.0 :    1 : [256]
760.3 :    1 : [253]
760.7 :    1 : [257]
761.3 :    1 : [259]
764.2 :    1 : [259]
764.7 :    2 : [251, 256]
766.3 :    1 : [257]
767.4 :    1 : [255]
767.6 :    1 : [254]
767.7 :    1 : [259]
768.2 :    1 : [253]
769.3 :    1 : [251]
770.8 :    1 : [256]
771.7 :    1 : [259]
772.4 :    2 : [254, 257]
772.5 :    1 : [253]
772.9 :    1 : [251]
774.7 :    1 : [259]
776.5 :    2 : [251, 256]
776.7 :    1 : [253]
776.8 :    1 : [254]
777.5 :    1 : [257]
778.3 :    1 : [259]
779.4 :    1 : [255]
780.5 :    1 : [251]
780.6 :    1 : [256]
782.0 :    1 : [259]
783.2 :    1 : [254]
783.4 :    1 : [256]
786.0 :    1 : [256]
786.6 :    1 : [251]
787.0 :    1 : [254]
789.1 :    1 : [257]
789.7 :    1 : [256]
790.6 :    1 : [251]
792.0 :    1 : [259]
792.1 :    1 : [254]
793.0 :    1 : [255]
794.7 :    1 : [256]
795.4 :    1 : [251]
796.0 :    1 : [259]
796.5 :    1 : [254]
797.2 :    1 : [255]
798.5 :    1 : [251]
799.2 :    1 : [256]
800.8 :    1 : [255]
801.0 :    1 : [259]
801.4 :    1 : [251]
801.8 :    1 : [257]
804.0 :    2 : [253, 254]
804.1 :    2 : [251, 256]
806.0 :    1 : [259]
806.7 :    1 : [253]
807.4 :    1 : [256]
808.1 :    1 : [251]
810.0 :    1 : [253]
810.2 :    1 : [256]
