Name: DR  [5HT], Title: Raster plot from device '10377', Hist: False
412.7 :    1 : [259]
412.8 :    1 : [254]
415.3 :    1 : [252]
415.8 :    1 : [251]
415.9 :    1 : [259]
417.3 :    1 : [254]
418.8 :    1 : [259]
419.0 :    1 : [255]
419.2 :    1 : [253]
420.6 :    1 : [254]
422.6 :    1 : [259]
423.0 :    1 : [253]
424.7 :    1 : [254]
425.4 :    1 : [259]
425.7 :    1 : [257]
426.5 :    1 : [251]
428.2 :    1 : [259]
428.9 :    1 : [254]
429.4 :    1 : [257]
430.0 :    1 : [251]
432.1 :    1 : [257]
433.4 :    1 : [259]
434.9 :    1 : [257]
436.1 :    1 : [251]
436.6 :    2 : [255, 259]
437.3 :    1 : [254]
437.8 :    1 : [257]
438.7 :    1 : [253]
439.8 :    1 : [259]
440.6 :    1 : [257]
440.7 :    1 : [254]
441.6 :    1 : [255]
441.7 :    1 : [253]
443.1 :    1 : [259]
443.6 :    1 : [257]
444.6 :    2 : [252, 254]
444.7 :    1 : [251]
445.3 :    1 : [255]
446.3 :    1 : [259]
448.7 :    1 : [255]
449.0 :    1 : [253]
449.5 :    1 : [259]
452.2 :    1 : [259]
454.0 :    1 : [257]
454.2 :    1 : [251]
454.5 :    1 : [255]
455.0 :    1 : [259]
457.9 :    1 : [253]
458.0 :    1 : [259]
458.5 :    1 : [257]
460.3 :    1 : [251]
460.8 :    1 : [259]
463.4 :    2 : [253, 257]
464.3 :    1 : [259]
466.9 :    1 : [255]
467.3 :    1 : [257]
467.5 :    1 : [259]
468.4 :    1 : [254]
469.2 :    1 : [251]
469.3 :    1 : [252]
471.0 :    1 : [257]
472.2 :    1 : [254]
473.1 :    1 : [259]
473.9 :    1 : [252]
474.2 :    1 : [257]
476.8 :    1 : [259]
477.0 :    1 : [257]
477.1 :    1 : [252]
478.7 :    1 : [251]
480.9 :    1 : [257]
481.0 :    1 : [259]
481.8 :    1 : [253]
482.5 :    1 : [255]
483.1 :    1 : [252]
483.6 :    1 : [251]
485.4 :    1 : [257]
487.2 :    1 : [251]
487.6 :    1 : [252]
488.1 :    1 : [259]
490.1 :    1 : [255]
491.5 :    1 : [259]
494.9 :    1 : [259]
495.7 :    1 : [253]
496.7 :    1 : [254]
497.9 :    1 : [259]
498.0 :    1 : [252]
500.3 :    1 : [253]
500.8 :    1 : [259]
504.1 :    1 : [259]
504.4 :    1 : [257]
504.8 :    1 : [254]
505.8 :    1 : [253]
506.2 :    1 : [252]
507.6 :    1 : [259]
507.8 :    1 : [257]
508.2 :    1 : [254]
508.5 :    1 : [255]
510.7 :    1 : [257]
511.2 :    1 : [254]
713.6 :    1 : [252]
713.7 :    1 : [260]
714.8 :    3 : [251, 257, 259]
717.3 :    1 : [252]
717.9 :    1 : [257]
718.6 :    1 : [259]
719.8 :    1 : [260]
720.0 :    1 : [252]
720.1 :    1 : [251]
722.9 :    1 : [252]
724.7 :    1 : [260]
724.9 :    1 : [257]
725.9 :    1 : [252]
727.3 :    1 : [251]
728.4 :    1 : [259]
728.9 :    1 : [252]
730.3 :    1 : [251]
730.5 :    1 : [257]
730.9 :    1 : [254]
731.2 :    1 : [260]
731.6 :    1 : [252]
734.7 :    1 : [254]
734.9 :    1 : [252]
735.1 :    1 : [260]
737.4 :    1 : [259]
738.9 :    2 : [252, 254]
740.1 :    1 : [257]
740.4 :    1 : [259]
743.0 :    1 : [259]
743.4 :    1 : [252]
746.2 :    1 : [259]
746.8 :    1 : [254]
747.7 :    1 : [260]
748.3 :    1 : [252]
749.5 :    1 : [257]
749.7 :    1 : [251]
750.4 :    1 : [254]
751.7 :    1 : [252]
753.5 :    1 : [259]
754.2 :    1 : [254]
754.3 :    1 : [260]
754.4 :    1 : [252]
755.2 :    1 : [251]
756.4 :    1 : [259]
757.2 :    1 : [252]
757.3 :    1 : [254]
758.6 :    1 : [257]
760.2 :    1 : [252]
760.4 :    1 : [254]
761.1 :    1 : [259]
763.2 :    1 : [254]
764.1 :    1 : [259]
764.3 :    1 : [252]
767.0 :    1 : [251]
767.6 :    1 : [252]
768.4 :    1 : [259]
769.5 :    1 : [257]
769.8 :    1 : [254]
771.6 :    1 : [251]
772.4 :    1 : [259]
772.6 :    1 : [260]
772.9 :    1 : [252]
773.4 :    1 : [257]
775.4 :    1 : [252]
776.8 :    1 : [254]
778.3 :    1 : [252]
778.6 :    1 : [260]
780.0 :    1 : [257]
781.4 :    1 : [252]
781.9 :    1 : [251]
782.6 :    1 : [259]
784.7 :    1 : [252]
786.3 :    1 : [259]
787.4 :    1 : [252]
787.8 :    1 : [260]
788.9 :    1 : [257]
790.3 :    1 : [252]
791.0 :    1 : [260]
792.3 :    1 : [257]
793.1 :    1 : [252]
794.0 :    1 : [259]
794.7 :    1 : [260]
796.1 :    1 : [252]
796.9 :    1 : [257]
798.2 :    1 : [260]
798.3 :    1 : [259]
799.4 :    1 : [252]
799.7 :    1 : [251]
801.7 :    1 : [257]
802.0 :    2 : [254, 259]
802.6 :    1 : [252]
805.2 :    1 : [259]
805.7 :    1 : [252]
807.5 :    1 : [257]
808.8 :    1 : [260]
808.9 :    1 : [259]
809.0 :    1 : [252]
809.7 :    1 : [254]
813.3 :    1 : [252]
