Name: MnR  [5HT], Title: Raster plot from device '10370', Hist: False
411.9 :    1 : [183]
412.2 :    1 : [182]
413.8 :    1 : [187]
415.4 :    1 : [185]
415.5 :    1 : [182]
415.6 :    1 : [183]
416.1 :    1 : [181]
416.4 :    1 : [190]
418.2 :    1 : [187]
418.7 :    1 : [189]
419.7 :    1 : [183]
421.7 :    1 : [187]
422.0 :    1 : [190]
423.5 :    1 : [183]
424.0 :    1 : [185]
425.2 :    2 : [186, 187]
428.5 :    1 : [185]
429.0 :    1 : [182]
431.9 :    1 : [183]
432.3 :    1 : [185]
432.8 :    1 : [187]
433.6 :    1 : [181]
434.6 :    1 : [183]
434.7 :    1 : [182]
435.6 :    1 : [186]
436.2 :    1 : [189]
437.1 :    1 : [181]
437.2 :    1 : [183]
438.6 :    1 : [182]
441.0 :    1 : [190]
442.0 :    1 : [183]
442.6 :    1 : [187]
443.0 :    1 : [181]
443.1 :    1 : [186]
443.5 :    1 : [189]
444.7 :    1 : [183]
445.8 :    1 : [187]
447.5 :    1 : [183]
447.8 :    1 : [186]
449.3 :    1 : [189]
450.1 :    1 : [183]
450.3 :    1 : [187]
453.1 :    1 : [183]
453.3 :    1 : [181]
454.8 :    1 : [182]
456.2 :    1 : [183]
456.8 :    1 : [190]
457.4 :    1 : [185]
458.6 :    1 : [181]
460.3 :    1 : [183]
461.6 :    1 : [189]
462.5 :    1 : [187]
463.4 :    1 : [183]
465.9 :    1 : [185]
466.1 :    1 : [183]
466.3 :    1 : [186]
467.0 :    1 : [187]
470.0 :    1 : [183]
471.0 :    1 : [187]
471.7 :    1 : [190]
472.3 :    1 : [189]
473.0 :    1 : [183]
474.9 :    1 : [182]
476.1 :    1 : [183]
476.8 :    1 : [190]
477.5 :    1 : [181]
479.2 :    1 : [186]
480.0 :    2 : [183, 185]
481.2 :    1 : [181]
481.6 :    1 : [190]
482.5 :    1 : [183]
484.0 :    1 : [186]
484.2 :    1 : [182]
485.2 :    1 : [183]
486.5 :    1 : [185]
488.0 :    1 : [183]
489.2 :    1 : [185]
489.6 :    1 : [189]
491.3 :    1 : [183]
492.6 :    1 : [182]
492.9 :    1 : [189]
494.5 :    1 : [186]
494.8 :    1 : [185]
495.1 :    1 : [183]
496.0 :    1 : [189]
496.6 :    1 : [187]
498.3 :    1 : [185]
499.3 :    1 : [183]
499.4 :    1 : [189]
500.6 :    1 : [186]
500.9 :    1 : [187]
501.8 :    1 : [185]
501.9 :    1 : [183]
503.4 :    1 : [182]
506.3 :    1 : [182]
506.4 :    1 : [183]
507.4 :    1 : [185]
507.6 :    1 : [187]
508.4 :    1 : [181]
509.1 :    1 : [190]
510.5 :    1 : [185]
510.8 :    1 : [183]
712.2 :    1 : [190]
712.6 :    1 : [187]
713.2 :    1 : [188]
713.6 :    1 : [185]
714.9 :    1 : [186]
715.4 :    1 : [183]
715.5 :    1 : [190]
715.6 :    1 : [182]
