Name: MnR  [5HT], Title: Raster plot from device '2463', Hist: False
412.3 :    1 : [189]
412.4 :    1 : [182]
413.6 :    1 : [186]
416.3 :    1 : [182]
416.6 :    1 : [189]
417.7 :    1 : [188]
418.5 :    1 : [183]
419.1 :    1 : [186]
419.2 :    1 : [190]
419.5 :    1 : [182]
420.2 :    1 : [189]
421.1 :    1 : [188]
423.8 :    2 : [189, 190]
423.9 :    1 : [188]
424.1 :    1 : [181]
425.5 :    1 : [186]
426.8 :    1 : [181]
426.9 :    1 : [188]
427.3 :    1 : [183]
428.3 :    1 : [189]
430.6 :    1 : [188]
431.1 :    2 : [183, 190]
432.7 :    1 : [182]
433.0 :    1 : [189]
433.6 :    1 : [190]
433.8 :    1 : [186]
434.8 :    1 : [183]
436.2 :    1 : [190]
436.9 :    1 : [186]
437.7 :    1 : [188]
438.0 :    1 : [183]
438.5 :    1 : [189]
438.7 :    1 : [182]
441.0 :    1 : [188]
441.4 :    1 : [190]
441.7 :    1 : [183]
441.8 :    1 : [189]
443.3 :    1 : [186]
444.0 :    2 : [188, 190]
444.3 :    1 : [182]
446.9 :    1 : [189]
447.3 :    1 : [188]
447.4 :    1 : [186]
447.7 :    1 : [190]
449.3 :    1 : [182]
450.0 :    1 : [183]
450.8 :    1 : [190]
452.7 :    1 : [186]
453.1 :    1 : [182]
454.0 :    1 : [190]
454.1 :    1 : [188]
457.5 :    1 : [188]
458.2 :    1 : [181]
458.7 :    1 : [190]
459.1 :    1 : [183]
461.2 :    1 : [186]
462.2 :    1 : [190]
462.6 :    1 : [188]
465.4 :    1 : [188]
467.4 :    1 : [181]
468.1 :    1 : [190]
468.2 :    2 : [182, 188]
469.5 :    1 : [183]
471.2 :    1 : [182]
471.3 :    1 : [188]
472.9 :    1 : [189]
473.2 :    1 : [190]
474.0 :    1 : [183]
475.8 :    1 : [188]
475.9 :    1 : [182]
477.2 :    1 : [190]
478.4 :    1 : [189]
478.5 :    1 : [183]
480.1 :    1 : [188]
480.5 :    1 : [190]
481.1 :    1 : [182]
481.2 :    1 : [183]
481.5 :    1 : [186]
484.7 :    1 : [190]
485.2 :    1 : [183]
485.3 :    1 : [188]
485.7 :    1 : [186]
486.4 :    1 : [181]
486.7 :    1 : [189]
486.9 :    1 : [182]
488.6 :    1 : [188]
488.9 :    1 : [183]
489.1 :    1 : [190]
490.3 :    1 : [181]
490.4 :    1 : [186]
491.6 :    1 : [188]
493.7 :    1 : [182]
493.8 :    1 : [183]
494.3 :    1 : [190]
494.4 :    1 : [188]
494.9 :    1 : [181]
497.2 :    1 : [190]
498.1 :    1 : [188]
498.2 :    1 : [186]
498.9 :    1 : [182]
500.1 :    1 : [190]
500.8 :    1 : [188]
503.8 :    1 : [188]
504.2 :    1 : [189]
504.9 :    1 : [182]
505.5 :    1 : [190]
506.1 :    1 : [183]
507.3 :    1 : [186]
507.8 :    1 : [188]
508.1 :    1 : [182]
508.6 :    1 : [181]
510.0 :    1 : [183]
510.1 :    1 : [189]
712.9 :    1 : [187]
713.3 :    1 : [189]
714.6 :    1 : [183]
715.4 :    1 : [181]
716.0 :    1 : [186]
716.1 :    1 : [189]
716.8 :    1 : [187]
717.8 :    1 : [184]
718.7 :    1 : [189]
719.4 :    1 : [181]
719.5 :    1 : [185]
719.8 :    1 : [183]
721.0 :    1 : [187]
721.5 :    1 : [189]
722.6 :    1 : [181]
723.0 :    1 : [184]
723.1 :    1 : [185]
724.1 :    1 : [189]
724.4 :    1 : [187]
725.6 :    1 : [186]
727.5 :    1 : [187]
727.9 :    1 : [183]
728.1 :    1 : [181]
728.7 :    1 : [189]
730.7 :    1 : [187]
730.8 :    1 : [185]
731.1 :    1 : [181]
731.2 :    1 : [183]
733.4 :    1 : [187]
733.6 :    1 : [184]
734.3 :    1 : [181]
734.5 :    1 : [189]
734.7 :    1 : [185]
736.6 :    1 : [187]
738.1 :    1 : [181]
738.5 :    1 : [183]
739.6 :    1 : [187]
742.2 :    1 : [189]
743.7 :    1 : [184]
744.5 :    1 : [181]
745.3 :    1 : [189]
746.8 :    1 : [187]
747.3 :    1 : [183]
747.4 :    1 : [181]
748.5 :    1 : [185]
748.7 :    1 : [189]
750.0 :    1 : [187]
750.4 :    1 : [181]
751.9 :    1 : [186]
752.1 :    1 : [185]
752.6 :    1 : [187]
753.1 :    1 : [183]
753.9 :    1 : [184]
754.6 :    1 : [181]
755.5 :    1 : [186]
755.6 :    1 : [189]
757.3 :    1 : [184]
758.0 :    1 : [181]
759.3 :    1 : [185]
760.2 :    1 : [183]
761.1 :    1 : [189]
761.4 :    1 : [187]
761.7 :    1 : [186]
761.8 :    1 : [181]
764.2 :    1 : [187]
765.0 :    1 : [189]
765.3 :    1 : [183]
765.4 :    1 : [185]
766.1 :    1 : [181]
767.3 :    1 : [187]
768.4 :    1 : [186]
768.5 :    1 : [189]
769.7 :    1 : [183]
770.5 :    2 : [184, 187]
771.9 :    1 : [189]
773.2 :    1 : [181]
773.8 :    1 : [187]
775.3 :    1 : [183]
776.3 :    1 : [185]
776.6 :    1 : [189]
777.0 :    1 : [181]
778.0 :    1 : [187]
778.3 :    1 : [183]
778.6 :    1 : [184]
780.1 :    1 : [186]
780.6 :    1 : [181]
781.3 :    1 : [187]
782.2 :    1 : [183]
783.4 :    1 : [181]
784.6 :    1 : [187]
785.4 :    1 : [186]
785.8 :    1 : [183]
786.6 :    1 : [184]
786.7 :    1 : [185]
787.5 :    1 : [187]
787.7 :    1 : [189]
789.0 :    1 : [181]
789.9 :    1 : [183]
790.5 :    2 : [184, 185]
793.8 :    1 : [181]
794.9 :    1 : [184]
795.6 :    1 : [187]
796.5 :    1 : [189]
797.7 :    1 : [181]
798.2 :    1 : [183]
800.2 :    1 : [187]
800.7 :    1 : [184]
801.7 :    1 : [181]
804.2 :    1 : [187]
805.0 :    1 : [181]
805.3 :    1 : [185]
806.1 :    1 : [184]
808.1 :    1 : [187]
808.2 :    1 : [181]
809.6 :    1 : [184]
809.9 :    1 : [189]
810.9 :    1 : [181]
811.0 :    1 : [187]
