Name: DR  [5HT], Title: Raster plot from device '2470', Hist: False
412.4 :    1 : [251]
414.4 :    1 : [255]
415.6 :    1 : [251]
416.8 :    1 : [259]
418.9 :    1 : [255]
419.6 :    1 : [254]
420.5 :    1 : [252]
421.5 :    1 : [251]
422.0 :    1 : [255]
424.1 :    1 : [259]
425.4 :    1 : [255]
425.9 :    1 : [252]
426.2 :    1 : [260]
428.1 :    1 : [255]
429.1 :    1 : [259]
429.9 :    1 : [252]
430.3 :    1 : [256]
430.4 :    1 : [260]
430.5 :    1 : [251]
431.0 :    1 : [255]
432.9 :    1 : [254]
433.7 :    1 : [255]
433.8 :    1 : [256]
435.3 :    1 : [259]
436.4 :    1 : [251]
436.6 :    1 : [260]
437.8 :    1 : [255]
438.8 :    1 : [259]
440.4 :    1 : [251]
441.0 :    1 : [254]
441.2 :    1 : [260]
443.0 :    1 : [259]
444.8 :    1 : [251]
446.0 :    1 : [255]
446.3 :    1 : [254]
446.8 :    1 : [259]
448.3 :    1 : [251]
449.0 :    2 : [255, 256]
449.3 :    1 : [260]
451.7 :    1 : [251]
452.6 :    2 : [254, 255]
454.4 :    1 : [256]
455.4 :    1 : [255]
456.2 :    1 : [259]
457.5 :    1 : [251]
458.5 :    1 : [260]
458.6 :    1 : [256]
459.6 :    1 : [255]
460.3 :    1 : [254]
460.4 :    1 : [251]
461.8 :    1 : [256]
462.2 :    1 : [255]
463.3 :    1 : [252]
463.7 :    1 : [251]
465.1 :    1 : [255]
466.3 :    1 : [256]
467.4 :    1 : [251]
467.6 :    1 : [260]
467.7 :    1 : [254]
468.6 :    1 : [255]
470.0 :    1 : [252]
470.4 :    1 : [251]
471.5 :    1 : [255]
472.0 :    1 : [260]
473.7 :    1 : [254]
473.9 :    1 : [251]
476.7 :    1 : [260]
477.2 :    1 : [251]
477.7 :    1 : [255]
478.9 :    1 : [254]
481.4 :    1 : [260]
481.6 :    1 : [252]
482.0 :    1 : [251]
483.5 :    1 : [256]
483.8 :    1 : [259]
485.6 :    1 : [251]
485.7 :    1 : [252]
486.8 :    1 : [255]
487.1 :    1 : [256]
487.4 :    1 : [260]
489.9 :    1 : [254]
490.4 :    1 : [255]
490.5 :    1 : [251]
492.6 :    1 : [252]
493.2 :    1 : [255]
493.6 :    1 : [254]
493.8 :    1 : [260]
495.7 :    1 : [259]
496.2 :    1 : [255]
496.5 :    1 : [256]
496.8 :    1 : [251]
498.6 :    1 : [255]
499.7 :    1 : [254]
499.9 :    1 : [259]
501.0 :    1 : [255]
502.0 :    1 : [256]
502.6 :    1 : [251]
504.0 :    1 : [255]
504.7 :    1 : [260]
505.4 :    2 : [251, 259]
506.7 :    1 : [254]
506.9 :    1 : [255]
507.5 :    1 : [256]
507.8 :    1 : [260]
509.7 :    1 : [251]
510.2 :    1 : [256]
712.6 :    1 : [253]
713.5 :    1 : [251]
714.3 :    1 : [258]
715.2 :    1 : [253]
716.5 :    1 : [251]
719.1 :    1 : [258]
719.3 :    1 : [251]
719.5 :    1 : [254]
719.7 :    1 : [253]
722.3 :    1 : [254]
722.4 :    1 : [251]
723.1 :    1 : [253]
725.6 :    1 : [251]
725.9 :    1 : [253]
728.4 :    1 : [251]
729.3 :    1 : [253]
729.5 :    1 : [254]
731.1 :    1 : [251]
734.1 :    1 : [251]
734.4 :    1 : [253]
734.6 :    1 : [254]
736.4 :    1 : [258]
737.2 :    1 : [253]
737.9 :    1 : [251]
738.9 :    1 : [254]
739.8 :    1 : [253]
740.2 :    1 : [258]
741.3 :    1 : [251]
742.7 :    1 : [253]
743.5 :    1 : [254]
744.8 :    1 : [251]
745.7 :    1 : [258]
746.2 :    1 : [253]
748.1 :    1 : [254]
748.6 :    1 : [251]
749.1 :    1 : [258]
749.7 :    1 : [253]
752.6 :    1 : [251]
752.9 :    1 : [254]
753.1 :    1 : [253]
755.4 :    1 : [251]
755.7 :    1 : [254]
756.8 :    1 : [253]
757.5 :    1 : [258]
758.2 :    1 : [254]
758.5 :    1 : [251]
760.0 :    1 : [253]
761.2 :    2 : [254, 258]
761.3 :    1 : [251]
763.5 :    1 : [253]
764.1 :    1 : [251]
764.2 :    1 : [258]
766.7 :    1 : [251]
767.6 :    1 : [254]
767.7 :    1 : [253]
769.7 :    1 : [251]
770.4 :    1 : [253]
771.3 :    1 : [254]
772.1 :    1 : [258]
772.9 :    1 : [251]
774.1 :    1 : [253]
775.4 :    1 : [254]
776.1 :    1 : [251]
778.0 :    1 : [253]
779.0 :    1 : [251]
779.5 :    1 : [258]
780.8 :    1 : [253]
781.8 :    1 : [254]
782.1 :    1 : [251]
784.0 :    1 : [253]
785.2 :    1 : [251]
785.9 :    1 : [258]
786.8 :    1 : [254]
787.9 :    1 : [253]
788.0 :    1 : [251]
789.7 :    1 : [254]
790.0 :    1 : [258]
790.7 :    2 : [251, 253]
792.6 :    1 : [254]
793.8 :    1 : [253]
794.6 :    1 : [251]
796.1 :    1 : [254]
797.4 :    1 : [253]
798.2 :    1 : [251]
799.1 :    1 : [254]
801.8 :    1 : [251]
802.2 :    1 : [253]
803.4 :    1 : [254]
804.4 :    1 : [258]
804.9 :    1 : [251]
805.1 :    1 : [253]
807.5 :    1 : [251]
807.8 :    1 : [258]
808.8 :    1 : [253]
809.0 :    1 : [254]
810.0 :    1 : [251]
811.0 :    1 : [258]
812.5 :    1 : [253]
812.6 :    1 : [254]
