Name: Striatum [D1], Title: Raster plot from device '30085', Hist: False
454.6 :    2 : [9212, 9676]
454.7 :    1 : [9129]
455.0 :    2 : [9714, 9752]
455.2 :    1 : [9621]
455.3 :    2 : [9818, 9829]
455.5 :    4 : [9329, 9527, 9578, 9856]
455.7 :    2 : [9258, 9658]
455.9 :    1 : [9487]
456.0 :    1 : [9790]
456.4 :    1 : [9159]
456.7 :    1 : [9201]
456.8 :    1 : [9930]
456.9 :    2 : [9129, 9676]
457.1 :    1 : [9212]
457.3 :    2 : [9644, 9714]
457.4 :    1 : [9752]
457.5 :    1 : [9829]
457.6 :    3 : [9329, 9621, 9818]
457.7 :    1 : [9527]
457.8 :    2 : [9578, 9856]
457.9 :    1 : [9616]
458.0 :    2 : [9258, 9658]
458.3 :    1 : [9487]
458.4 :    1 : [9790]
458.7 :    1 : [9159]
458.9 :    1 : [9930]
459.0 :    2 : [9129, 9676]
459.2 :    2 : [9201, 9212]
459.5 :    4 : [9644, 9668, 9714, 9752]
459.6 :    1 : [9829]
459.7 :    2 : [9329, 9818]
459.8 :    1 : [9621]
459.9 :    3 : [9527, 9578, 9856]
460.1 :    1 : [9258]
460.2 :    1 : [9658]
460.3 :    1 : [9616]
460.6 :    1 : [9487]
460.7 :    1 : [9790]
461.0 :    1 : [9159]
461.1 :    1 : [9129]
461.2 :    2 : [9676, 9930]
461.5 :    1 : [9212]
461.6 :    2 : [9201, 9237]
461.7 :    2 : [9644, 9752]
461.8 :    2 : [9714, 9829]
461.9 :    3 : [9329, 9668, 9818]
462.2 :    1 : [9856]
462.3 :    3 : [9527, 9578, 9621]
462.4 :    1 : [9258]
462.6 :    1 : [9658]
462.7 :    1 : [9487]
462.8 :    1 : [9616]
463.2 :    2 : [9159, 9790]
463.3 :    2 : [9129, 9930]
463.4 :    1 : [9676]
463.5 :    1 : [9697]
463.7 :    1 : [9212]
463.8 :    3 : [9201, 9644, 9752]
463.9 :    3 : [9237, 9714, 9829]
464.1 :    1 : [9329]
464.2 :    2 : [9668, 9818]
464.3 :    2 : [9580, 9856]
464.4 :    3 : [9527, 9578, 9621]
464.5 :    1 : [9258]
464.7 :    1 : [9658]
464.8 :    1 : [9487]
465.0 :    1 : [9616]
465.3 :    2 : [9159, 9790]
465.4 :    2 : [9129, 9930]
465.5 :    1 : [9676]
465.8 :    2 : [9212, 9697]
465.9 :    2 : [9201, 9752]
466.0 :    3 : [9644, 9714, 9829]
466.2 :    2 : [9237, 9329]
466.3 :    1 : [9818]
466.4 :    1 : [9668]
466.5 :    4 : [9527, 9578, 9621, 9856]
466.6 :    1 : [9258]
466.9 :    2 : [9580, 9658]
467.1 :    1 : [9487]
467.3 :    1 : [9616]
467.5 :    1 : [9129]
467.6 :    3 : [9159, 9790, 9930]
467.7 :    1 : [9676]
468.1 :    4 : [9201, 9212, 9697, 9752]
468.2 :    3 : [9644, 9714, 9829]
468.5 :    1 : [9329]
468.6 :    1 : [9818]
468.7 :    1 : [9237]
468.8 :    1 : [9527]
468.9 :    4 : [9258, 9578, 9621, 9668]
469.0 :    1 : [9856]
469.4 :    1 : [9580]
469.5 :    2 : [9487, 9658]
469.6 :    1 : [9616]
469.7 :    2 : [9129, 9159]
469.8 :    2 : [9676, 9930]
469.9 :    1 : [9790]
470.2 :    1 : [9752]
470.3 :    3 : [9201, 9697, 9829]
470.4 :    1 : [9714]
470.5 :    2 : [9212, 9644]
470.6 :    1 : [9329]
470.7 :    1 : [9818]
470.9 :    2 : [9237, 9527]
471.0 :    2 : [9258, 9668]
471.1 :    3 : [9578, 9621, 9856]
471.3 :    1 : [9390]
471.6 :    1 : [9658]
471.7 :    2 : [9487, 9580]
471.8 :    3 : [9129, 9159, 9616]
471.9 :    2 : [9676, 9930]
472.1 :    1 : [9790]
472.4 :    2 : [9752, 9829]
472.5 :    2 : [9201, 9697]
472.6 :    1 : [9714]
472.7 :    2 : [9212, 9644]
472.8 :    2 : [9329, 9818]
473.2 :    5 : [9237, 9258, 9527, 9621, 9856]
473.3 :    2 : [9578, 9668]
473.7 :    1 : [9658]
473.9 :    4 : [9129, 9159, 9390, 9616]
474.0 :    2 : [9487, 9580]
474.1 :    2 : [9676, 9930]
474.3 :    1 : [9790]
474.5 :    1 : [9752]
474.6 :    1 : [9201]
474.7 :    3 : [9697, 9714, 9829]
474.8 :    2 : [9212, 9644]
474.9 :    2 : [9329, 9818]
475.3 :    3 : [9258, 9527, 9621]
475.4 :    3 : [9237, 9578, 9856]
475.5 :    1 : [9668]
476.0 :    1 : [9658]
476.1 :    2 : [9129, 9616]
476.2 :    3 : [9159, 9580, 9676]
476.3 :    3 : [9390, 9487, 9930]
476.5 :    1 : [9790]
476.7 :    1 : [9752]
476.8 :    1 : [9201]
476.9 :    3 : [9212, 9644, 9714]
477.0 :    2 : [9697, 9829]
477.1 :    1 : [9329]
477.2 :    1 : [9818]
477.4 :    2 : [9258, 9621]
477.5 :    3 : [9527, 9578, 9856]
477.6 :    1 : [9237]
477.9 :    1 : [9668]
478.1 :    1 : [9658]
478.2 :    1 : [9616]
478.3 :    3 : [9129, 9159, 9676]
478.4 :    3 : [9487, 9580, 9930]
478.5 :    1 : [9390]
478.6 :    1 : [9790]
478.8 :    1 : [9752]
478.9 :    1 : [9201]
479.0 :    3 : [9212, 9644, 9714]
479.1 :    2 : [9697, 9829]
479.2 :    1 : [9329]
479.3 :    1 : [9818]
479.5 :    2 : [9258, 9621]
479.6 :    3 : [9527, 9578, 9856]
479.8 :    1 : [9237]
480.0 :    1 : [9668]
480.2 :    1 : [9658]
480.3 :    1 : [9616]
480.4 :    3 : [9129, 9159, 9676]
480.5 :    1 : [9930]
480.6 :    2 : [9487, 9580]
480.7 :    2 : [9390, 9790]
480.9 :    1 : [9752]
481.1 :    3 : [9212, 9644, 9714]
481.2 :    2 : [9201, 9829]
481.3 :    2 : [9329, 9697]
481.4 :    1 : [9818]
481.6 :    1 : [9621]
481.7 :    4 : [9258, 9527, 9578, 9856]
482.0 :    1 : [9237]
482.1 :    1 : [9668]
482.3 :    1 : [9658]
482.5 :    3 : [9129, 9616, 9676]
482.6 :    1 : [9159]
482.7 :    1 : [9930]
482.9 :    3 : [9487, 9580, 9790]
483.0 :    2 : [9390, 9752]
483.2 :    2 : [9644, 9714]
483.4 :    5 : [9201, 9212, 9329, 9697, 9829]
483.5 :    1 : [9818]
483.8 :    1 : [9621]
483.9 :    2 : [9527, 9856]
484.0 :    1 : [9258]
484.1 :    1 : [9578]
484.3 :    2 : [9237, 9668]
484.5 :    1 : [9658]
484.7 :    2 : [9129, 9616]
484.8 :    2 : [9159, 9676]
485.0 :    3 : [9580, 9790, 9930]
485.1 :    1 : [9752]
485.2 :    2 : [9390, 9487]
485.3 :    2 : [9644, 9714]
485.5 :    5 : [9201, 9212, 9329, 9697, 9829]
485.6 :    1 : [9818]
485.9 :    1 : [9621]
486.0 :    2 : [9527, 9856]
486.1 :    1 : [9258]
486.2 :    1 : [9578]
486.4 :    1 : [9237]
486.5 :    1 : [9668]
486.7 :    1 : [9658]
486.8 :    1 : [9129]
486.9 :    3 : [9159, 9616, 9676]
487.1 :    3 : [9580, 9790, 9930]
487.2 :    1 : [9752]
487.3 :    2 : [9390, 9487]
487.4 :    2 : [9644, 9714]
487.6 :    5 : [9201, 9212, 9329, 9697, 9829]
487.7 :    1 : [9818]
488.0 :    1 : [9621]
488.1 :    2 : [9527, 9856]
488.2 :    1 : [9258]
488.3 :    1 : [9578]
488.5 :    1 : [9237]
488.6 :    1 : [9668]
488.8 :    1 : [9658]
488.9 :    1 : [9129]
489.0 :    2 : [9159, 9676]
489.1 :    1 : [9616]
489.2 :    1 : [9930]
489.3 :    1 : [9580]
489.4 :    2 : [9752, 9790]
489.5 :    3 : [9390, 9644, 9714]
489.6 :    1 : [9487]
489.7 :    5 : [9201, 9212, 9329, 9697, 9829]
489.8 :    1 : [9818]
490.1 :    1 : [9621]
490.3 :    3 : [9258, 9527, 9856]
490.4 :    1 : [9578]
490.6 :    1 : [9237]
490.9 :    1 : [9668]
491.0 :    2 : [9129, 9658]
491.1 :    1 : [9676]
491.2 :    1 : [9616]
491.3 :    1 : [9159]
491.4 :    1 : [9930]
491.5 :    2 : [9580, 9752]
491.6 :    3 : [9644, 9714, 9790]
491.7 :    2 : [9390, 9487]
491.8 :    2 : [9201, 9212]
491.9 :    2 : [9329, 9829]
492.0 :    2 : [9697, 9818]
492.2 :    1 : [9621]
492.4 :    1 : [9258]
492.5 :    3 : [9527, 9578, 9856]
492.8 :    1 : [9237]
493.1 :    1 : [9658]
493.2 :    2 : [9129, 9668]
493.3 :    1 : [9676]
493.4 :    2 : [9159, 9616]
493.5 :    1 : [9930]
493.6 :    2 : [9580, 9752]
493.7 :    3 : [9644, 9714, 9790]
493.9 :    2 : [9212, 9390]
494.0 :    2 : [9201, 9829]
494.1 :    2 : [9487, 9818]
494.2 :    2 : [9329, 9697]
494.3 :    1 : [9621]
494.6 :    1 : [9258]
494.7 :    1 : [9527]
494.8 :    1 : [9578]
494.9 :    1 : [9856]
495.0 :    1 : [9237]
495.3 :    1 : [9658]
495.4 :    2 : [9129, 9676]
495.5 :    2 : [9159, 9616]
495.6 :    2 : [9668, 9930]
495.7 :    1 : [9752]
