Name: NAc [GABA1], Title: Raster plot from device '30073', Hist: False
526.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
528.8 :    1 : [289]
528.9 :    2 : [283, 287]
529.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
530.9 :    1 : [289]
531.0 :    2 : [283, 287]
531.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
533.0 :    1 : [289]
533.1 :    2 : [283, 287]
533.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
535.1 :    1 : [289]
535.2 :    2 : [283, 287]
535.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
537.2 :    1 : [289]
537.3 :    2 : [283, 287]
537.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
539.3 :    1 : [289]
539.4 :    2 : [283, 287]
539.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
541.4 :    1 : [289]
541.5 :    2 : [283, 287]
541.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
543.5 :    1 : [289]
543.6 :    2 : [283, 287]
543.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
545.6 :    1 : [289]
545.7 :    2 : [283, 287]
545.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
547.7 :    1 : [289]
547.8 :    2 : [283, 287]
547.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
549.8 :    1 : [289]
549.9 :    2 : [283, 287]
550.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
551.9 :    1 : [289]
552.0 :    2 : [283, 287]
552.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
554.0 :    1 : [289]
554.1 :    2 : [283, 287]
554.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
556.1 :    1 : [289]
556.2 :    2 : [283, 287]
556.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
558.2 :    1 : [289]
558.3 :    2 : [283, 287]
558.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
560.3 :    1 : [289]
560.4 :    2 : [283, 287]
560.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
562.4 :    1 : [289]
562.5 :    2 : [283, 287]
562.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
564.5 :    1 : [289]
564.6 :    2 : [283, 287]
564.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
566.6 :    1 : [289]
566.7 :    2 : [283, 287]
566.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
568.7 :    1 : [289]
568.8 :    2 : [283, 287]
568.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
570.8 :    1 : [289]
570.9 :    2 : [283, 287]
571.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
572.9 :    1 : [289]
573.0 :    2 : [283, 287]
573.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
575.0 :    1 : [289]
575.1 :    2 : [283, 287]
575.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
577.1 :    1 : [289]
577.2 :    2 : [283, 287]
577.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
579.2 :    1 : [289]
579.3 :    2 : [283, 287]
579.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
581.3 :    1 : [289]
581.4 :    2 : [283, 287]
581.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
583.4 :    1 : [289]
583.5 :    2 : [283, 287]
583.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
585.5 :    1 : [289]
585.6 :    2 : [283, 287]
585.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
587.6 :    1 : [289]
587.7 :    2 : [283, 287]
587.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
589.7 :    1 : [289]
589.8 :    2 : [283, 287]
589.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
591.8 :    1 : [289]
591.9 :    2 : [283, 287]
592.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
593.9 :    1 : [289]
594.0 :    2 : [283, 287]
594.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
596.0 :    1 : [289]
596.1 :    2 : [283, 287]
596.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
598.1 :    1 : [289]
598.2 :    2 : [283, 287]
598.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
600.2 :    1 : [289]
600.3 :    2 : [283, 287]
600.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
602.3 :    1 : [289]
602.4 :    2 : [283, 287]
602.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
604.4 :    1 : [289]
604.5 :    2 : [283, 287]
604.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
606.5 :    1 : [289]
606.6 :    2 : [283, 287]
606.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
608.6 :    1 : [289]
608.7 :    2 : [283, 287]
608.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
610.7 :    1 : [289]
610.8 :    2 : [283, 287]
610.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
612.8 :    1 : [289]
612.9 :    2 : [283, 287]
613.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
614.9 :    1 : [289]
615.0 :    2 : [283, 287]
615.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
617.0 :    1 : [289]
617.1 :    2 : [283, 287]
617.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
619.1 :    1 : [289]
619.2 :    2 : [283, 287]
619.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
621.2 :    1 : [289]
621.3 :    2 : [283, 287]
621.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
623.3 :    1 : [289]
623.4 :    2 : [283, 287]
623.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
625.4 :    1 : [289]
625.5 :    2 : [283, 287]
625.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
627.5 :    1 : [289]
627.6 :    2 : [283, 287]
627.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
629.6 :    1 : [289]
629.7 :    2 : [283, 287]
629.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
631.7 :    1 : [289]
631.8 :    2 : [283, 287]
631.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
633.8 :    1 : [289]
633.9 :    2 : [283, 287]
634.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
635.9 :    1 : [289]
636.0 :    2 : [283, 287]
