Name: SNc [DA], Title: Raster plot from device '95191', Hist: False
125.1 :   19 : [5862, 5876, 5887, 5888, 5889, 5892, 5898, 5901, 5902, 5914, 5922, 5923, 5929, 5935, 5936, 5939, 5943, 5945, 5954]
125.2 :   17 : [5865, 5866, 5867, 5869, 5880, 5881, 5883, 5895, 5911, 5919, 5921, 5928, 5937, 5942, 5944, 5951, 5959]
125.3 :   12 : [5871, 5879, 5890, 5897, 5907, 5915, 5926, 5934, 5938, 5940, 5947, 5956]
125.4 :    2 : [5877, 5927]
125.5 :    1 : [5920]
125.6 :    2 : [5946, 5958]
125.7 :    3 : [5863, 5884, 5953]
125.8 :    3 : [5873, 5912, 5917]
125.9 :    1 : [5908]
126.1 :    4 : [5882, 5948, 5955, 5960]
126.2 :    3 : [5894, 5909, 5941]
126.4 :    2 : [5896, 5903]
126.5 :    1 : [5893]
126.6 :    2 : [5870, 5930]
126.7 :    3 : [5872, 5899, 5961]
126.8 :    1 : [5878]
127.0 :    1 : [5924]
127.1 :    2 : [5868, 5950]
127.2 :    3 : [5885, 5910, 5925]
127.4 :    1 : [5905]
127.5 :    3 : [5877, 5900, 5947]
127.7 :    2 : [5867, 5959]
127.8 :    2 : [5863, 5949]
127.9 :    2 : [5912, 5939]
128.1 :    1 : [5879]
128.2 :    1 : [5927]
128.3 :    1 : [5948]
128.4 :    4 : [5874, 5884, 5904, 5916]
128.5 :    2 : [5864, 5913]
128.6 :    2 : [5901, 5929]
128.7 :    5 : [5862, 5876, 5898, 5902, 5903]
128.8 :    4 : [5889, 5892, 5935, 5943]
128.9 :    8 : [5887, 5888, 5894, 5914, 5936, 5945, 5954, 5958]
129.0 :    5 : [5896, 5923, 5944, 5946, 5960]
129.1 :    3 : [5899, 5937, 5938]
129.2 :    7 : [5865, 5882, 5883, 5893, 5911, 5917, 5924]
129.3 :    2 : [5895, 5907]
129.4 :    3 : [5870, 5921, 5930]
129.5 :    1 : [5881]
129.6 :    2 : [5942, 5961]
129.7 :    1 : [5877]
129.8 :    2 : [5868, 5878]
129.9 :    1 : [5866]
130.0 :    2 : [5872, 5947]
130.2 :    1 : [5912]
130.7 :    2 : [5863, 5867]
130.8 :    2 : [5900, 5959]
130.9 :    1 : [5948]
131.0 :    1 : [5910]
131.2 :    1 : [5925]
131.5 :    1 : [5924]
131.8 :    1 : [5903]
131.9 :    1 : [5899]
132.4 :    1 : [5877]
132.6 :    1 : [5896]
133.0 :    1 : [5947]
133.6 :    1 : [5912]
134.1 :    1 : [5948]
134.3 :    1 : [5924]
310.5 :    4 : [5882, 5887, 5920, 5943]
310.6 :    2 : [5862, 5878]
310.7 :    4 : [5869, 5883, 5888, 5921]
310.8 :    2 : [5893, 5916]
310.9 :    5 : [5864, 5912, 5914, 5931, 5942]
311.0 :    4 : [5874, 5877, 5922, 5955]
311.2 :    3 : [5875, 5910, 5924]
311.3 :    1 : [5917]
311.5 :    2 : [5908, 5954]
311.6 :    5 : [5895, 5904, 5938, 5941, 5946]
311.7 :    5 : [5884, 5902, 5906, 5944, 5960]
311.8 :    1 : [5909]
312.0 :    1 : [5889]
312.1 :    1 : [5865]
312.2 :    1 : [5897]
312.3 :    2 : [5886, 5945]
312.5 :    1 : [5881]
312.6 :    3 : [5882, 5887, 5943]
312.7 :    1 : [5862]
312.8 :    5 : [5869, 5888, 5891, 5920, 5921]
312.9 :    3 : [5878, 5893, 5952]
313.0 :    4 : [5883, 5912, 5914, 5931]
313.1 :    5 : [5871, 5877, 5885, 5916, 5922]
313.2 :    3 : [5864, 5942, 5949]
313.3 :    2 : [5874, 5955]
313.4 :    3 : [5898, 5917, 5961]
313.5 :    3 : [5875, 5910, 5924]
313.6 :    1 : [5954]
313.7 :    2 : [5941, 5946]
313.8 :    4 : [5902, 5906, 5908, 5960]
313.9 :    3 : [5895, 5904, 5938]
314.0 :    3 : [5884, 5944, 5957]
314.1 :    2 : [5889, 5909]
314.4 :    3 : [5865, 5886, 5945]
314.5 :    1 : [5897]
314.6 :    2 : [5881, 5928]
314.7 :    1 : [5887]
314.8 :    1 : [5862]
314.9 :    2 : [5891, 5921]
315.0 :    4 : [5878, 5880, 5893, 5952]
315.1 :    3 : [5883, 5914, 5931]
315.2 :    4 : [5871, 5885, 5916, 5920]
315.3 :    2 : [5864, 5942]
315.4 :    2 : [5874, 5955]
315.5 :    4 : [5882, 5917, 5949, 5961]
315.6 :    1 : [5924]
315.7 :    2 : [5898, 5933]
315.8 :    2 : [5941, 5946]
315.9 :    6 : [5869, 5875, 5906, 5908, 5910, 5960]
316.0 :    3 : [5895, 5904, 5938]
316.2 :    3 : [5888, 5909, 5943]
316.3 :    3 : [5884, 5912, 5957]
316.4 :    1 : [5944]
316.5 :    1 : [5886]
316.6 :    1 : [5877]
316.7 :    3 : [5881, 5922, 5928]
316.9 :    2 : [5865, 5887]
317.0 :    2 : [5891, 5897]
317.1 :    3 : [5880, 5893, 5954]
317.2 :    3 : [5883, 5902, 5914]
317.3 :    4 : [5871, 5885, 5916, 5936]
317.4 :    2 : [5864, 5942]
317.5 :    1 : [5874]
317.6 :    3 : [5889, 5917, 5949]
317.8 :    1 : [5945]
317.9 :    1 : [5941]
318.0 :    4 : [5906, 5908, 5920, 5933]
318.1 :    6 : [5862, 5895, 5898, 5904, 5952, 5960]
318.2 :    1 : [5894]
318.3 :    4 : [5878, 5909, 5921, 5943]
318.4 :    2 : [5884, 5931]
318.6 :    2 : [5886, 5961]
318.7 :    6 : [5875, 5877, 5882, 5910, 5955, 5957]
318.8 :    2 : [5881, 5924]
319.0 :    2 : [5865, 5887]
319.1 :    3 : [5891, 5938, 5946]
319.2 :    4 : [5869, 5880, 5944, 5954]
319.3 :    1 : [5902]
319.4 :    2 : [5871, 5936]
319.5 :    2 : [5888, 5942]
319.6 :    1 : [5874]
319.7 :    2 : [5864, 5949]
319.8 :    2 : [5897, 5912]
320.0 :    1 : [5941]
320.1 :    3 : [5906, 5908, 5922]
