Name: MnR  [5HT], Title: Raster plot from device '2463', Hist: False
413.3 :    1 : [190]
415.5 :    1 : [186]
417.9 :    1 : [190]
420.2 :    1 : [189]
421.2 :    1 : [182]
421.7 :    1 : [186]
422.6 :    1 : [188]
423.2 :    1 : [185]
424.9 :    1 : [186]
425.5 :    1 : [189]
426.4 :    1 : [185]
427.7 :    1 : [182]
428.5 :    1 : [186]
429.3 :    1 : [185]
430.8 :    1 : [182]
431.6 :    1 : [186]
431.7 :    1 : [184]
433.7 :    1 : [188]
434.3 :    1 : [190]
434.6 :    1 : [186]
438.6 :    1 : [185]
440.0 :    1 : [186]
443.3 :    1 : [189]
444.3 :    2 : [186, 190]
445.4 :    1 : [185]
445.6 :    1 : [184]
447.7 :    1 : [190]
448.7 :    1 : [182]
449.1 :    1 : [185]
449.3 :    1 : [188]
450.6 :    1 : [189]
450.7 :    1 : [190]
452.1 :    1 : [186]
453.1 :    1 : [188]
454.7 :    1 : [184]
454.9 :    1 : [190]
455.6 :    1 : [182]
455.8 :    1 : [186]
455.9 :    1 : [185]
458.9 :    1 : [190]
459.1 :    1 : [186]
460.3 :    1 : [182]
460.6 :    1 : [185]
460.8 :    1 : [184]
461.2 :    1 : [189]
462.1 :    1 : [188]
462.2 :    1 : [190]
464.4 :    1 : [185]
465.1 :    1 : [184]
465.2 :    1 : [186]
465.5 :    1 : [182]
466.9 :    1 : [188]
467.4 :    1 : [185]
469.6 :    1 : [190]
469.7 :    1 : [186]
470.0 :    1 : [184]
470.8 :    1 : [185]
471.5 :    1 : [188]
472.3 :    1 : [182]
472.7 :    1 : [190]
473.6 :    1 : [186]
473.7 :    1 : [189]
474.0 :    1 : [184]
474.7 :    1 : [185]
476.3 :    1 : [190]
477.3 :    1 : [184]
477.4 :    1 : [186]
477.5 :    1 : [182]
477.6 :    1 : [189]
477.9 :    1 : [185]
480.4 :    1 : [190]
480.7 :    1 : [185]
481.4 :    1 : [189]
481.6 :    1 : [184]
482.5 :    1 : [186]
483.0 :    1 : [188]
483.5 :    1 : [182]
484.6 :    1 : [189]
486.4 :    1 : [188]
486.7 :    1 : [190]
488.3 :    1 : [186]
490.0 :    1 : [185]
490.6 :    1 : [190]
491.5 :    1 : [184]
492.0 :    1 : [188]
492.5 :    1 : [182]
493.6 :    1 : [185]
494.6 :    1 : [186]
495.1 :    1 : [188]
496.1 :    1 : [190]
496.3 :    1 : [185]
498.2 :    1 : [186]
500.0 :    1 : [185]
500.4 :    1 : [190]
500.6 :    1 : [189]
500.9 :    1 : [184]
501.5 :    1 : [186]
503.0 :    1 : [188]
504.1 :    1 : [182]
504.9 :    1 : [190]
505.2 :    1 : [185]
506.2 :    1 : [189]
507.2 :    1 : [188]
507.8 :    1 : [186]
508.2 :    1 : [185]
712.7 :    1 : [186]
715.6 :    1 : [186]
715.9 :    1 : [190]
716.1 :    1 : [189]
718.3 :    1 : [186]
718.6 :    1 : [183]
721.3 :    1 : [186]
721.9 :    1 : [189]
723.2 :    1 : [181]
723.6 :    1 : [190]
724.0 :    1 : [186]
725.4 :    1 : [183]
726.4 :    1 : [184]
726.8 :    1 : [186]
728.6 :    1 : [181]
729.2 :    1 : [190]
729.6 :    1 : [186]
732.5 :    1 : [190]
732.8 :    1 : [183]
733.5 :    1 : [181]
735.0 :    2 : [186, 190]
737.0 :    1 : [184]
738.4 :    1 : [190]
738.7 :    1 : [186]
740.9 :    1 : [189]
741.2 :    2 : [183, 186]
742.3 :    1 : [181]
743.1 :    1 : [184]
744.3 :    1 : [183]
744.4 :    1 : [186]
745.4 :    1 : [190]
747.4 :    1 : [186]
748.9 :    1 : [189]
749.2 :    1 : [183]
749.3 :    1 : [190]
750.1 :    1 : [186]
750.3 :    1 : [184]
750.4 :    1 : [181]
753.2 :    1 : [186]
756.3 :    1 : [186]
757.1 :    1 : [183]
757.9 :    1 : [190]
758.0 :    1 : [181]
759.3 :    1 : [186]
761.0 :    1 : [190]
762.5 :    1 : [186]
762.9 :    1 : [183]
763.4 :    1 : [189]
764.5 :    1 : [190]
765.8 :    1 : [181]
765.9 :    1 : [186]
768.3 :    1 : [186]
769.1 :    1 : [181]
770.8 :    1 : [186]
772.7 :    1 : [190]
773.2 :    1 : [184]
773.8 :    1 : [186]
775.2 :    1 : [181]
775.4 :    1 : [189]
778.4 :    1 : [186]
779.5 :    1 : [189]
780.0 :    1 : [184]
780.1 :    1 : [190]
781.2 :    2 : [181, 186]
783.0 :    1 : [190]
783.3 :    1 : [183]
783.8 :    2 : [186, 189]
786.2 :    2 : [186, 190]
786.7 :    1 : [183]
788.3 :    1 : [189]
788.6 :    1 : [186]
790.5 :    2 : [183, 190]
791.0 :    1 : [186]
791.3 :    1 : [181]
793.3 :    1 : [186]
793.4 :    1 : [190]
793.9 :    1 : [181]
795.1 :    1 : [189]
795.7 :    1 : [184]
795.8 :    1 : [186]
796.8 :    1 : [190]
798.2 :    1 : [183]
798.4 :    1 : [181]
799.4 :    1 : [190]
799.6 :    1 : [186]
800.3 :    1 : [184]
802.0 :    1 : [190]
802.1 :    1 : [181]
803.4 :    1 : [183]
804.2 :    1 : [186]
806.7 :    1 : [181]
807.4 :    1 : [186]
809.9 :    1 : [186]
810.2 :    1 : [184]
