Name: SNc [DA], Title: Raster plot from device '4773', Hist: False
111.4 :    2 : [305, 307]
112.2 :    1 : [312]
113.6 :    4 : [303, 305, 307, 308]
114.4 :    1 : [312]
115.7 :    3 : [305, 307, 308]
115.9 :    1 : [303]
116.5 :    1 : [312]
117.5 :    1 : [311]
117.6 :    1 : [301]
117.8 :    2 : [305, 308]
118.0 :    1 : [303]
118.6 :    2 : [304, 312]
119.0 :    1 : [307]
119.7 :    1 : [301]
119.9 :    1 : [308]
120.1 :    1 : [311]
120.3 :    1 : [303]
120.7 :    1 : [312]
121.1 :    3 : [304, 305, 307]
121.8 :    1 : [301]
122.0 :    1 : [308]
122.2 :    1 : [311]
122.8 :    1 : [303]
123.2 :    1 : [305]
123.8 :    1 : [304]
123.9 :    1 : [301]
124.2 :    1 : [308]
124.3 :    1 : [311]
124.5 :    1 : [312]
124.9 :    1 : [307]
125.7 :    1 : [303]
126.2 :    1 : [301]
126.5 :    1 : [311]
126.7 :    2 : [305, 308]
126.9 :    1 : [312]
127.0 :    1 : [307]
127.5 :    1 : [304]
128.9 :    3 : [301, 305, 311]
129.4 :    1 : [307]
129.5 :    1 : [312]
129.8 :    1 : [308]
131.2 :    1 : [305]
131.6 :    1 : [311]
132.2 :    1 : [307]
132.3 :    1 : [301]
132.7 :    1 : [312]
133.8 :    1 : [305]
135.3 :    1 : [311]
135.7 :    1 : [307]
135.9 :    1 : [310]
136.8 :    1 : [305]
310.7 :    2 : [301, 303]
310.8 :    1 : [312]
311.1 :    1 : [307]
311.5 :    1 : [302]
311.9 :    1 : [308]
312.1 :    1 : [313]
312.8 :    2 : [301, 303]
312.9 :    1 : [312]
313.2 :    1 : [307]
313.6 :    1 : [302]
314.0 :    1 : [308]
314.2 :    1 : [313]
314.9 :    1 : [303]
315.7 :    1 : [302]
316.1 :    1 : [308]
316.2 :    1 : [301]
316.4 :    1 : [312]
316.6 :    1 : [307]
317.3 :    1 : [313]
318.3 :    1 : [301]
318.5 :    2 : [303, 312]
318.7 :    1 : [307]
319.2 :    1 : [302]
319.4 :    1 : [313]
319.8 :    1 : [308]
320.6 :    1 : [303]
320.8 :    1 : [307]
321.4 :    1 : [301]
321.6 :    1 : [312]
321.9 :    1 : [308]
322.5 :    1 : [302]
322.9 :    1 : [313]
323.1 :    1 : [307]
323.7 :    1 : [312]
324.3 :    1 : [303]
324.6 :    1 : [302]
324.9 :    1 : [301]
325.0 :    1 : [313]
325.3 :    1 : [308]
325.8 :    1 : [307]
326.5 :    1 : [303]
327.0 :    1 : [301]
327.1 :    1 : [313]
327.4 :    1 : [308]
327.5 :    1 : [312]
328.1 :    1 : [302]
328.9 :    2 : [303, 307]
329.1 :    1 : [301]
329.2 :    1 : [313]
329.6 :    1 : [308]
329.7 :    1 : [312]
330.2 :    1 : [302]
331.2 :    1 : [301]
331.3 :    1 : [313]
331.7 :    1 : [303]
332.0 :    1 : [308]
332.2 :    1 : [312]
332.4 :    1 : [302]
333.3 :    1 : [301]
333.7 :    1 : [313]
334.8 :    1 : [308]
334.9 :    1 : [302]
335.0 :    1 : [312]
335.4 :    1 : [303]
336.0 :    1 : [301]
336.8 :    1 : [313]
337.9 :    1 : [302]
338.4 :    1 : [308]
339.1 :    2 : [301, 312]
510.5 :    1 : [308]
511.0 :    1 : [305]
511.3 :    1 : [312]
511.6 :    1 : [311]
512.5 :    1 : [304]
512.6 :    1 : [308]
513.0 :    1 : [309]
513.1 :    1 : [305]
513.4 :    1 : [312]
513.6 :    1 : [310]
513.7 :    1 : [311]
514.1 :    1 : [303]
514.6 :    1 : [304]
515.1 :    1 : [309]
515.2 :    2 : [305, 313]
515.6 :    1 : [308]
515.7 :    1 : [310]
515.8 :    1 : [311]
516.2 :    1 : [303]
516.5 :    1 : [312]
517.3 :    2 : [305, 313]
517.7 :    2 : [304, 308]
517.8 :    1 : [310]
518.6 :    1 : [312]
518.7 :    1 : [309]
518.8 :    1 : [311]
519.2 :    1 : [303]
520.6 :    1 : [305]
520.7 :    1 : [308]
520.8 :    1 : [304]
520.9 :    1 : [313]
521.3 :    1 : [310]
521.7 :    1 : [312]
522.1 :    1 : [309]
522.3 :    1 : [311]
522.5 :    1 : [303]
522.7 :    1 : [305]
523.0 :    1 : [313]
523.4 :    1 : [310]
523.8 :    1 : [312]
524.0 :    1 : [304]
524.1 :    1 : [308]
524.4 :    1 : [311]
525.2 :    1 : [313]
525.6 :    1 : [309]
526.0 :    1 : [303]
526.1 :    1 : [305]
526.2 :    1 : [308]
526.5 :    1 : [311]
527.0 :    1 : [310]
527.3 :    1 : [312]
527.6 :    2 : [304, 313]
527.7 :    1 : [309]
528.1 :    1 : [303]
528.2 :    1 : [305]
528.6 :    1 : [311]
529.1 :    1 : [310]
529.5 :    1 : [312]
529.7 :    1 : [304]
529.8 :    2 : [308, 309]
530.2 :    1 : [303]
530.3 :    2 : [305, 313]
530.7 :    1 : [311]
531.5 :    1 : [310]
531.8 :    2 : [304, 312]
531.9 :    1 : [309]
532.0 :    1 : [308]
532.3 :    1 : [303]
532.8 :    1 : [305]
533.2 :    1 : [311]
533.9 :    2 : [304, 313]
534.0 :    1 : [310]
534.3 :    2 : [309, 312]
534.4 :    1 : [308]
534.8 :    1 : [303]
535.5 :    1 : [305]
536.2 :    2 : [304, 311]
537.1 :    3 : [308, 309, 310]
537.4 :    1 : [312]
537.7 :    1 : [303]
539.0 :    2 : [304, 305]
540.5 :    1 : [308]
540.9 :    1 : [309]
542.8 :    1 : [304]
