Name: Motor cortex [Glu1], Title: Raster plot from device '20338', Hist: False
282.8 :    1 : [1801]
283.6 :    1 : [1835]
283.7 :    1 : [1805]
283.8 :    4 : [1759, 1767, 1772, 1791]
283.9 :    4 : [1773, 1780, 1794, 1824]
284.0 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
284.1 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
284.2 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
284.3 :   19 : [1753, 1757, 1764, 1771, 1777, 1784, 1789, 1795, 1799, 1800, 1817, 1819, 1826, 1828, 1833, 1834, 1836, 1846, 1847]
284.4 :   11 : [1762, 1765, 1778, 1785, 1797, 1802, 1810, 1812, 1818, 1841, 1845]
284.5 :    4 : [1790, 1809, 1816, 1822]
284.6 :    3 : [1750, 1781, 1829]
284.8 :    1 : [1820]
284.9 :    1 : [1801]
285.7 :    1 : [1835]
285.8 :    1 : [1805]
285.9 :    4 : [1759, 1767, 1772, 1791]
286.0 :    4 : [1773, 1780, 1794, 1824]
286.1 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
286.2 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
286.3 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
286.4 :   19 : [1753, 1757, 1764, 1771, 1777, 1784, 1789, 1795, 1799, 1800, 1817, 1819, 1826, 1828, 1833, 1834, 1836, 1846, 1847]
286.5 :   11 : [1762, 1765, 1778, 1785, 1797, 1802, 1810, 1812, 1818, 1841, 1845]
286.6 :    4 : [1790, 1809, 1816, 1822]
286.7 :    3 : [1750, 1781, 1829]
286.9 :    1 : [1820]
287.0 :    1 : [1801]
287.8 :    1 : [1835]
287.9 :    1 : [1805]
288.0 :    4 : [1759, 1767, 1772, 1791]
288.1 :    4 : [1773, 1780, 1794, 1824]
288.2 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
288.3 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
288.4 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
288.5 :   19 : [1753, 1757, 1764, 1771, 1777, 1784, 1789, 1795, 1799, 1800, 1817, 1819, 1826, 1828, 1833, 1834, 1836, 1846, 1847]
288.6 :   11 : [1762, 1765, 1778, 1785, 1797, 1802, 1810, 1812, 1818, 1841, 1845]
288.7 :    4 : [1790, 1809, 1816, 1822]
288.8 :    3 : [1750, 1781, 1829]
289.0 :    1 : [1820]
289.1 :    1 : [1801]
289.9 :    1 : [1835]
290.0 :    1 : [1805]
290.1 :    4 : [1759, 1767, 1772, 1791]
290.2 :    4 : [1773, 1780, 1794, 1824]
290.3 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
290.4 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
290.5 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
290.6 :   19 : [1753, 1757, 1764, 1771, 1777, 1784, 1789, 1795, 1799, 1800, 1817, 1819, 1826, 1828, 1833, 1834, 1836, 1846, 1847]
290.7 :   11 : [1762, 1765, 1778, 1785, 1797, 1802, 1810, 1812, 1818, 1841, 1845]
290.8 :    4 : [1790, 1809, 1816, 1822]
290.9 :    3 : [1750, 1781, 1829]
291.1 :    1 : [1820]
291.2 :    1 : [1801]
292.0 :    1 : [1835]
292.1 :    1 : [1805]
