Name: Striatum [D2], Title: Raster plot from device '5457', Hist: False
 31.3 :    5 : [1042, 1060, 1063, 1075, 1076]
 31.5 :    4 : [1034, 1066, 1088, 1095]
 31.6 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 31.7 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 31.8 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 31.9 :    4 : [1078, 1079, 1109, 1110]
 32.0 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 32.1 :    1 : [1080]
 32.2 :    2 : [1035, 1048]
 32.3 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 32.5 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 32.6 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 32.7 :    4 : [1028, 1058, 1059, 1106]
 32.8 :    2 : [1061, 1081]
 32.9 :    5 : [1094, 1114, 1115, 1117, 1118]
 33.0 :    4 : [1036, 1050, 1074, 1120]
 33.1 :    5 : [1026, 1027, 1090, 1107, 1116]
 33.2 :    2 : [1025, 1047]
 33.3 :    1 : [1071]
 33.4 :    5 : [1042, 1060, 1063, 1075, 1076]
 33.6 :    4 : [1034, 1066, 1088, 1095]
 33.7 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 33.8 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 33.9 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 34.0 :    4 : [1078, 1079, 1109, 1110]
 34.1 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 34.2 :    1 : [1080]
 34.3 :    2 : [1035, 1048]
 34.4 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 34.6 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 34.7 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 34.8 :    4 : [1028, 1058, 1059, 1106]
 34.9 :    2 : [1061, 1081]
 35.0 :    5 : [1094, 1114, 1115, 1117, 1118]
 35.1 :    4 : [1036, 1050, 1074, 1120]
 35.2 :    5 : [1026, 1027, 1090, 1107, 1116]
 35.3 :    2 : [1025, 1047]
 35.4 :    1 : [1071]
 35.5 :    5 : [1042, 1060, 1063, 1075, 1076]
 35.7 :    4 : [1034, 1066, 1088, 1095]
 35.8 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 35.9 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 36.0 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 36.1 :    4 : [1078, 1079, 1109, 1110]
 36.2 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 36.3 :    1 : [1080]
 36.4 :    2 : [1035, 1048]
 36.5 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 36.7 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 36.8 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 36.9 :    4 : [1028, 1058, 1059, 1106]
 37.0 :    2 : [1061, 1081]
 37.1 :    5 : [1094, 1114, 1115, 1117, 1118]
 37.2 :    4 : [1036, 1050, 1074, 1120]
 37.3 :    5 : [1026, 1027, 1090, 1107, 1116]
 37.4 :    2 : [1025, 1047]
 37.5 :    1 : [1071]
 37.6 :    5 : [1042, 1060, 1063, 1075, 1076]
 37.8 :    4 : [1034, 1066, 1088, 1095]
 37.9 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 38.0 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
