Name: Striatum [D1], Title: Raster plot from device '5456', Hist: False
227.9 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
228.0 :    1 : [929]
228.1 :    7 : [911, 952, 954, 968, 971, 973, 975]
228.2 :    4 : [906, 921, 923, 933]
228.3 :    2 : [934, 964]
228.4 :    3 : [905, 926, 937]
228.5 :    1 : [965]
228.6 :    1 : [908]
228.7 :    1 : [916]
228.8 :    3 : [889, 919, 924]
228.9 :    1 : [930]
229.0 :    4 : [890, 904, 931, 958]
229.1 :    4 : [883, 900, 915, 927]
229.2 :    4 : [901, 939, 947, 982]
229.3 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
229.4 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
229.5 :    1 : [892]
229.6 :    6 : [887, 899, 935, 945, 972, 977]
229.7 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
229.8 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
229.9 :    6 : [910, 920, 925, 948, 969, 980]
230.0 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
230.1 :    1 : [929]
230.2 :    7 : [911, 952, 954, 968, 971, 973, 975]
230.3 :    4 : [906, 921, 923, 933]
230.4 :    2 : [934, 964]
230.5 :    3 : [905, 926, 937]
230.6 :    1 : [965]
230.7 :    1 : [908]
230.8 :    1 : [916]
230.9 :    3 : [889, 919, 924]
231.0 :    1 : [930]
231.1 :    4 : [890, 904, 931, 958]
231.2 :    4 : [883, 900, 915, 927]
231.3 :    4 : [901, 939, 947, 982]
231.4 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
231.5 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
231.6 :    1 : [892]
231.7 :    6 : [887, 899, 935, 945, 972, 977]
231.8 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
231.9 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
232.0 :    6 : [910, 920, 925, 948, 969, 980]
232.1 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
232.2 :    1 : [929]
232.3 :    7 : [911, 952, 954, 968, 971, 973, 975]
232.4 :    4 : [906, 921, 923, 933]
232.5 :    2 : [934, 964]
232.6 :    3 : [905, 926, 937]
232.7 :    1 : [965]
232.8 :    1 : [908]
232.9 :    1 : [916]
233.0 :    3 : [889, 919, 924]
233.1 :    1 : [930]
233.2 :    4 : [890, 904, 931, 958]
233.3 :    4 : [883, 900, 915, 927]
233.4 :    4 : [901, 939, 947, 982]
233.5 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
233.6 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
233.7 :    1 : [892]
233.8 :    6 : [887, 899, 935, 945, 972, 977]
233.9 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
234.0 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
234.1 :    6 : [910, 920, 925, 948, 969, 980]
