Name: MnR  [5HT], Title: Raster plot from device '5421', Hist: False
412.8 :    1 : [186]
414.5 :    1 : [181]
415.3 :    1 : [185]
416.0 :    1 : [190]
416.3 :    1 : [186]
417.3 :    1 : [181]
419.1 :    1 : [186]
419.7 :    1 : [185]
421.4 :    1 : [181]
422.4 :    1 : [186]
423.0 :    1 : [190]
424.7 :    1 : [185]
425.1 :    1 : [186]
425.2 :    1 : [181]
427.5 :    1 : [189]
428.1 :    1 : [186]
428.2 :    1 : [185]
428.5 :    1 : [190]
429.1 :    1 : [181]
431.2 :    1 : [186]
431.6 :    1 : [190]
432.0 :    1 : [185]
433.2 :    1 : [181]
434.9 :    1 : [190]
435.0 :    1 : [185]
435.2 :    1 : [186]
436.0 :    1 : [181]
437.3 :    1 : [189]
440.1 :    1 : [185]
440.2 :    1 : [190]
440.9 :    1 : [186]
441.7 :    1 : [189]
442.1 :    1 : [181]
443.5 :    1 : [185]
444.1 :    1 : [190]
444.2 :    1 : [186]
444.9 :    1 : [189]
445.2 :    1 : [181]
447.0 :    1 : [185]
447.4 :    1 : [186]
448.0 :    1 : [190]
450.1 :    2 : [181, 186]
450.8 :    1 : [185]
450.9 :    1 : [189]
452.8 :    1 : [186]
453.8 :    1 : [190]
454.0 :    1 : [181]
455.7 :    1 : [185]
456.6 :    1 : [186]
456.9 :    1 : [190]
457.1 :    1 : [181]
458.7 :    1 : [185]
459.7 :    1 : [181]
460.5 :    1 : [186]
463.4 :    1 : [186]
463.6 :    1 : [181]
465.8 :    1 : [185]
466.4 :    1 : [186]
466.6 :    2 : [181, 190]
469.1 :    1 : [186]
469.2 :    1 : [185]
469.7 :    1 : [181]
470.5 :    1 : [189]
470.9 :    1 : [190]
471.8 :    1 : [186]
473.0 :    1 : [181]
474.9 :    1 : [186]
475.2 :    1 : [190]
476.1 :    1 : [181]
477.8 :    1 : [186]
479.5 :    1 : [181]
480.3 :    1 : [186]
481.9 :    1 : [190]
482.9 :    1 : [181]
483.0 :    1 : [186]
483.4 :    1 : [189]
483.7 :    1 : [185]
485.5 :    1 : [190]
485.7 :    1 : [186]
487.2 :    1 : [189]
487.3 :    1 : [181]
489.7 :    1 : [190]
490.1 :    1 : [185]
491.0 :    1 : [186]
492.6 :    1 : [189]
494.0 :    1 : [186]
494.6 :    1 : [181]
494.8 :    1 : [185]
495.7 :    1 : [190]
495.8 :    1 : [189]
497.2 :    1 : [186]
497.9 :    1 : [181]
499.9 :    1 : [185]
500.3 :    1 : [186]
500.9 :    1 : [189]
503.6 :    1 : [186]
503.9 :    1 : [181]
505.5 :    2 : [185, 190]
506.6 :    1 : [186]
506.9 :    1 : [189]
507.0 :    1 : [181]
508.4 :    1 : [190]
511.3 :    1 : [186]
712.2 :    1 : [181]
713.9 :    1 : [182]
714.1 :    1 : [184]
714.3 :    1 : [189]
717.5 :    1 : [189]
717.9 :    1 : [184]
718.5 :    2 : [182, 190]
718.8 :    1 : [181]
719.0 :    1 : [187]
721.6 :    1 : [189]
722.7 :    1 : [190]
723.0 :    1 : [182]
723.1 :    1 : [181]
725.9 :    2 : [182, 189]
727.9 :    1 : [190]
728.0 :    1 : [184]
728.3 :    1 : [185]
728.5 :    1 : [181]
728.8 :    1 : [182]
728.9 :    1 : [187]
730.2 :    1 : [189]
732.0 :    1 : [182]
732.1 :    1 : [181]
732.9 :    1 : [184]
734.4 :    1 : [190]
735.4 :    1 : [181]
735.8 :    1 : [189]
736.7 :    1 : [187]
737.8 :    1 : [190]
738.5 :    1 : [184]
738.7 :    1 : [182]
739.7 :    1 : [189]
740.8 :    1 : [181]
742.1 :    1 : [190]
742.5 :    1 : [184]
742.9 :    1 : [189]
743.4 :    1 : [185]
743.5 :    1 : [182]
744.6 :    1 : [181]
746.4 :    1 : [182]
746.5 :    2 : [184, 189]
749.2 :    1 : [189]
749.4 :    1 : [181]
752.5 :    1 : [189]
752.7 :    1 : [187]
753.6 :    1 : [190]
754.2 :    1 : [182]
754.4 :    1 : [181]
756.4 :    1 : [190]
756.9 :    1 : [182]
759.4 :    1 : [185]
760.0 :    1 : [189]
760.4 :    1 : [190]
761.3 :    1 : [182]
761.9 :    1 : [181]
764.3 :    1 : [182]
765.5 :    1 : [181]
766.8 :    1 : [185]
768.6 :    1 : [181]
769.1 :    1 : [189]
772.2 :    1 : [182]
772.7 :    1 : [189]
772.8 :    1 : [190]
775.2 :    1 : [184]
775.7 :    1 : [189]
775.9 :    1 : [181]
776.0 :    1 : [182]
777.2 :    1 : [190]
779.4 :    1 : [189]
780.0 :    1 : [182]
780.8 :    1 : [184]
781.4 :    1 : [190]
782.7 :    1 : [189]
782.9 :    1 : [181]
784.7 :    1 : [184]
784.9 :    1 : [182]
786.3 :    1 : [190]
786.9 :    1 : [187]
787.9 :    1 : [189]
789.1 :    1 : [181]
789.3 :    1 : [182]
790.0 :    1 : [184]
791.7 :    1 : [189]
793.8 :    1 : [181]
794.7 :    1 : [184]
797.1 :    1 : [182]
797.3 :    1 : [181]
797.7 :    1 : [185]
798.5 :    1 : [189]
800.5 :    1 : [182]
800.6 :    1 : [190]
801.3 :    1 : [185]
801.6 :    1 : [184]
801.9 :    1 : [189]
804.9 :    1 : [187]
805.6 :    1 : [181]
808.0 :    1 : [184]
809.1 :    1 : [189]
809.8 :    2 : [185, 187]
810.0 :    1 : [182]
810.5 :    1 : [181]
