Name: DR  [5HT], Title: Raster plot from device '20312', Hist: False
763.1 :    1 : [253]
763.8 :    1 : [257]
763.9 :    1 : [260]
765.4 :    1 : [251]
768.1 :    1 : [252]
768.4 :    1 : [260]
768.7 :    1 : [257]
768.8 :    1 : [258]
770.8 :    1 : [251]
771.3 :    1 : [252]
771.8 :    1 : [260]
772.3 :    1 : [258]
772.9 :    1 : [257]
775.7 :    1 : [260]
776.2 :    1 : [257]
777.2 :    1 : [251]
778.5 :    1 : [252]
778.6 :    1 : [260]
779.8 :    1 : [257]
781.9 :    1 : [252]
782.4 :    2 : [251, 253]
783.4 :    1 : [260]
785.0 :    1 : [257]
785.1 :    1 : [252]
786.2 :    1 : [258]
786.6 :    1 : [253]
787.1 :    1 : [251]
788.4 :    1 : [260]
788.8 :    1 : [257]
790.7 :    1 : [252]
791.0 :    1 : [253]
791.4 :    1 : [251]
793.5 :    1 : [252]
794.2 :    1 : [257]
795.4 :    1 : [251]
795.5 :    1 : [260]
796.3 :    1 : [252]
797.4 :    1 : [258]
798.4 :    1 : [260]
799.3 :    2 : [251, 252]
802.0 :    1 : [252]
802.6 :    1 : [257]
802.7 :    1 : [253]
803.3 :    1 : [260]
804.5 :    1 : [252]
804.8 :    1 : [258]
805.6 :    1 : [257]
807.1 :    1 : [251]
807.7 :    1 : [252]
807.9 :    1 : [260]
808.2 :    1 : [257]
809.5 :    1 : [253]
811.5 :    1 : [260]
856.4 :    1 : [254]
856.5 :    3 : [252, 253, 259]
856.6 :    5 : [255, 256, 257, 258, 260]
856.7 :    1 : [251]
859.4 :    1 : [254]
859.5 :    2 : [253, 259]
859.6 :    1 : [252]
859.7 :    6 : [251, 255, 256, 257, 258, 260]
911.7 :    2 : [254, 260]
911.8 :    8 : [251, 252, 253, 255, 256, 257, 258, 259]
914.7 :    2 : [254, 260]
914.8 :    4 : [251, 252, 253, 256]
914.9 :    4 : [255, 257, 258, 259]
966.6 :    1 : [254]
966.7 :    5 : [253, 255, 257, 259, 260]
966.8 :    4 : [251, 252, 256, 258]
969.5 :    1 : [254]
969.7 :    5 : [253, 255, 257, 259, 260]
969.8 :    2 : [251, 256]
969.9 :    2 : [252, 258]
