Name: MnR  [5HT], Title: Raster plot from device '20304', Hist: False
413.5 :    1 : [188]
414.2 :    1 : [187]
415.0 :    1 : [183]
415.4 :    1 : [185]
416.3 :    1 : [189]
417.8 :    1 : [183]
419.4 :    1 : [188]
421.4 :    2 : [183, 190]
421.5 :    1 : [189]
422.6 :    1 : [187]
424.3 :    1 : [183]
424.6 :    1 : [189]
425.1 :    1 : [190]
425.3 :    1 : [188]
426.7 :    1 : [185]
427.2 :    1 : [187]
427.9 :    1 : [189]
428.5 :    1 : [190]
429.5 :    1 : [183]
431.6 :    2 : [185, 188]
433.5 :    1 : [189]
433.6 :    1 : [190]
434.8 :    1 : [188]
435.4 :    1 : [185]
436.6 :    1 : [183]
437.1 :    1 : [190]
437.9 :    1 : [189]
438.0 :    1 : [187]
439.0 :    1 : [181]
439.2 :    1 : [185]
440.1 :    1 : [190]
440.6 :    1 : [183]
441.5 :    1 : [189]
442.2 :    1 : [181]
443.4 :    1 : [188]
443.8 :    1 : [190]
444.6 :    1 : [183]
444.9 :    1 : [185]
445.5 :    1 : [189]
445.8 :    1 : [181]
447.2 :    1 : [187]
448.2 :    1 : [183]
450.2 :    1 : [190]
450.8 :    1 : [185]
452.4 :    1 : [183]
452.8 :    1 : [188]
453.8 :    2 : [181, 185]
454.5 :    1 : [190]
455.1 :    1 : [183]
456.9 :    1 : [189]
457.9 :    1 : [183]
458.9 :    1 : [185]
459.0 :    1 : [187]
461.9 :    1 : [189]
462.5 :    1 : [183]
463.1 :    1 : [185]
463.7 :    2 : [181, 190]
465.1 :    1 : [189]
466.0 :    1 : [188]
466.2 :    1 : [185]
468.6 :    1 : [190]
469.0 :    1 : [181]
469.5 :    1 : [185]
470.3 :    1 : [188]
472.2 :    1 : [181]
472.9 :    1 : [190]
473.2 :    1 : [185]
476.5 :    1 : [185]
476.6 :    1 : [187]
478.5 :    1 : [183]
479.3 :    1 : [181]
479.4 :    1 : [190]
480.0 :    1 : [185]
480.5 :    1 : [188]
481.7 :    1 : [183]
482.7 :    1 : [185]
483.0 :    1 : [190]
483.7 :    1 : [181]
484.3 :    1 : [183]
485.7 :    1 : [185]
485.8 :    1 : [190]
486.5 :    1 : [189]
487.5 :    1 : [187]
487.6 :    1 : [181]
488.5 :    2 : [183, 185]
488.8 :    1 : [190]
491.0 :    1 : [181]
491.7 :    1 : [185]
492.2 :    1 : [183]
492.8 :    1 : [188]
494.8 :    1 : [185]
496.3 :    1 : [190]
497.7 :    1 : [185]
499.3 :    1 : [181]
500.3 :    1 : [185]
500.7 :    1 : [183]
500.9 :    1 : [190]
503.0 :    1 : [187]
503.2 :    1 : [185]
503.3 :    2 : [188, 189]
504.2 :    1 : [190]
504.7 :    1 : [183]
506.0 :    1 : [185]
506.1 :    1 : [188]
507.0 :    1 : [189]
508.6 :    1 : [190]
509.4 :    1 : [185]
510.2 :    1 : [183]
510.9 :    1 : [189]
511.0 :    1 : [188]
511.4 :    1 : [190]
713.0 :    1 : [186]
713.5 :    2 : [181, 189]
714.1 :    1 : [188]
715.4 :    1 : [187]
715.6 :    1 : [190]
716.8 :    1 : [186]
717.8 :    1 : [188]
718.1 :    1 : [189]
718.9 :    1 : [187]
719.9 :    1 : [186]
720.8 :    1 : [181]
723.0 :    1 : [188]
723.9 :    1 : [189]
724.3 :    1 : [181]
724.4 :    1 : [187]
724.5 :    2 : [186, 190]
727.3 :    2 : [184, 188]
727.9 :    1 : [187]
729.2 :    1 : [186]
730.0 :    1 : [190]
730.5 :    1 : [188]
732.0 :    1 : [186]
732.9 :    1 : [184]
733.2 :    1 : [188]
734.1 :    1 : [181]
735.5 :    1 : [187]
736.2 :    1 : [190]
736.3 :    1 : [188]
739.4 :    1 : [188]
739.6 :    1 : [190]
740.0 :    1 : [186]
740.8 :    1 : [184]
741.6 :    1 : [181]
742.1 :    1 : [188]
745.3 :    1 : [188]
746.3 :    1 : [189]
746.8 :    1 : [187]
747.0 :    1 : [184]
747.3 :    1 : [186]
749.4 :    1 : [190]
750.0 :    1 : [186]
750.7 :    1 : [184]
751.2 :    1 : [181]
752.3 :    1 : [189]
753.1 :    1 : [186]
753.6 :    1 : [187]
754.1 :    1 : [181]
754.2 :    1 : [188]
755.1 :    1 : [190]
756.7 :    1 : [186]
757.1 :    1 : [181]
757.2 :    1 : [188]
757.7 :    1 : [187]
760.7 :    1 : [189]
760.8 :    1 : [186]
761.2 :    1 : [188]
763.2 :    1 : [181]
764.2 :    1 : [188]
764.9 :    1 : [184]
765.5 :    1 : [186]
765.7 :    1 : [190]
767.1 :    1 : [188]
767.2 :    1 : [189]
767.4 :    1 : [181]
769.1 :    1 : [186]
770.9 :    1 : [181]
771.2 :    1 : [190]
771.7 :    1 : [188]
773.6 :    1 : [186]
774.1 :    1 : [189]
775.1 :    1 : [187]
777.4 :    1 : [188]
777.5 :    1 : [184]
779.4 :    1 : [186]
780.1 :    1 : [190]
780.3 :    1 : [188]
780.4 :    1 : [189]
780.5 :    1 : [181]
782.1 :    1 : [186]
783.1 :    1 : [188]
784.1 :    1 : [181]
785.3 :    1 : [186]
785.5 :    1 : [189]
786.5 :    1 : [184]
787.0 :    1 : [190]
787.1 :    1 : [188]
790.3 :    1 : [189]
791.3 :    1 : [188]
793.5 :    1 : [190]
795.3 :    1 : [188]
795.6 :    1 : [184]
795.7 :    1 : [186]
797.6 :    1 : [190]
798.2 :    1 : [188]
798.9 :    1 : [189]
800.4 :    1 : [184]
800.8 :    2 : [188, 190]
801.1 :    1 : [186]
803.9 :    1 : [188]
804.1 :    1 : [181]
805.5 :    1 : [186]
806.3 :    1 : [190]
807.3 :    1 : [189]
807.5 :    1 : [187]
807.7 :    1 : [188]
809.0 :    1 : [186]
810.8 :    2 : [188, 189]
