Name: VTA [GABA2], Title: Raster plot from device '20314', Hist: False
216.3 :    1 : [286]
216.4 :    5 : [281, 282, 284, 285, 289]
216.5 :    2 : [287, 290]
216.6 :    2 : [283, 288]
218.9 :    2 : [284, 285]
219.0 :    2 : [281, 289]
219.1 :    2 : [286, 287]
219.2 :    4 : [282, 283, 288, 290]
221.4 :    2 : [284, 285]
221.6 :    5 : [281, 287, 288, 289, 290]
221.7 :    1 : [283]
221.8 :    2 : [282, 286]
