Name: Motor cortex [Glu0], Title: Raster plot from device '20344', Hist: False
 13.2 :    2 : [6794, 6831]
 13.3 :    1 : [6854]
 13.6 :    1 : [6785]
 13.7 :    5 : [6779, 6793, 6796, 6815, 6841]
 13.8 :    1 : [6833]
 14.1 :    2 : [6791, 6863]
 14.3 :    1 : [6786]
 14.4 :    1 : [6829]
 14.9 :    2 : [6771, 6830]
 15.0 :    1 : [6839]
 15.1 :    1 : [6864]
 15.2 :    3 : [6768, 6769, 6834]
 15.4 :    1 : [6778]
 15.6 :    1 : [6790]
 15.7 :    1 : [6837]
 15.8 :    2 : [6808, 6823]
 15.9 :    2 : [6794, 6804]
 16.1 :    1 : [6775]
 16.2 :    1 : [6850]
 16.3 :    1 : [6787]
 16.4 :    1 : [6800]
 16.5 :    3 : [6785, 6788, 6856]
 16.6 :    1 : [6845]
 16.7 :    2 : [6824, 6842]
 16.8 :    1 : [6831]
 16.9 :    1 : [6781]
 17.0 :    1 : [6789]
 17.1 :    1 : [6797]
 17.3 :    2 : [6835, 6843]
 17.6 :    3 : [6807, 6829, 6841]
 17.7 :    4 : [6772, 6796, 6839, 6862]
 18.0 :    1 : [6859]
 18.1 :    1 : [6802]
 18.3 :    1 : [6815]
 18.4 :    2 : [6773, 6784]
 18.5 :    1 : [6832]
 18.6 :    2 : [6846, 6852]
 18.7 :    2 : [6792, 6855]
 19.1 :    1 : [6793]
 19.2 :    2 : [6816, 6848]
 19.5 :    1 : [6794]
 19.6 :    4 : [6768, 6785, 6808, 6833]
 20.1 :    5 : [6767, 6778, 6781, 6845, 6860]
 20.2 :    2 : [6822, 6865]
 20.4 :    1 : [6789]
 20.5 :    2 : [6775, 6779]
 20.6 :    1 : [6839]
 20.7 :    1 : [6800]
 20.9 :    1 : [6863]
 21.0 :    2 : [6791, 6850]
 21.2 :    1 : [6788]
 21.3 :    1 : [6838]
 21.4 :    1 : [6786]
 21.5 :    2 : [6843, 6862]
 21.6 :    1 : [6772]
 21.7 :    1 : [6797]
 21.8 :    1 : [6809]
 22.0 :    1 : [6769]
 22.1 :    1 : [6841]
 22.2 :    1 : [6840]
 22.4 :    2 : [6831, 6842]
 22.7 :    2 : [6801, 6806]
 22.9 :    1 : [6846]
 23.0 :    1 : [6796]
 23.2 :    3 : [6815, 6819, 6834]
 23.3 :    1 : [6789]
 23.5 :    2 : [6794, 6808]
 23.7 :    3 : [6828, 6835, 6853]
 23.8 :    2 : [6813, 6863]
 23.9 :    1 : [6852]
 24.0 :    1 : [6823]
 24.2 :    3 : [6785, 6800, 6824]
 24.3 :    2 : [6787, 6830]
 24.5 :    1 : [6768]
 24.6 :    2 : [6829, 6839]
 24.8 :    1 : [6788]
 24.9 :    2 : [6782, 6786]
 25.3 :    1 : [6864]
 25.5 :    1 : [6781]
 25.8 :    1 : [6843]
 26.0 :    1 : [6841]
 26.2 :    1 : [6845]
 26.3 :    1 : [6815]
 26.5 :    4 : [6793, 6794, 6809, 6862]
 26.6 :    1 : [6866]
 26.7 :    1 : [6797]
 26.8 :    2 : [6802, 6835]
 27.0 :    1 : [6772]
 27.2 :    2 : [6798, 6800]
 27.3 :    1 : [6791]
 27.5 :    1 : [6834]
 27.6 :    1 : [6808]
 27.7 :    2 : [6796, 6823]
 27.8 :    1 : [6839]
 27.9 :    1 : [6855]
 28.0 :    2 : [6777, 6799]
 28.1 :    1 : [6787]
 28.2 :    4 : [6785, 6801, 6833, 6850]
 28.7 :    1 : [6846]
 28.8 :    1 : [6831]
 29.0 :    1 : [6845]
 29.4 :    2 : [6778, 6789]
 29.5 :    2 : [6788, 6863]
 29.7 :    2 : [6841, 6853]
 30.2 :    1 : [6794]
 30.3 :    1 : [6830]
 30.4 :    1 : [6862]
 30.5 :    1 : [6828]
 30.6 :    1 : [6857]
 30.7 :    1 : [6773]
 30.8 :    2 : [6779, 6834]
 31.0 :    1 : [6802]
 31.2 :    1 : [6824]
 31.4 :    1 : [6772]
 31.5 :    4 : [6771, 6785, 6796, 6842]
 31.6 :    2 : [6815, 6856]
 31.7 :    3 : [6768, 6782, 6845]
 32.1 :    1 : [6800]
 32.2 :    2 : [6792, 6843]
 32.3 :    1 : [6775]
 32.8 :    3 : [6769, 6809, 6811]
 32.9 :    4 : [6788, 6808, 6835, 6841]
 33.1 :    2 : [6795, 6850]
 33.2 :    1 : [6791]
 33.3 :    1 : [6853]
 33.4 :    1 : [6794]
 33.5 :    1 : [6801]
 33.7 :    1 : [6816]
 34.1 :    1 : [6797]
 34.2 :    1 : [6852]
 34.5 :    1 : [6860]
 34.7 :    2 : [6777, 6789]
 34.8 :    2 : [6787, 6845]
 34.9 :    3 : [6793, 6802, 6846]
 35.0 :    2 : [6804, 6862]
 35.2 :    1 : [6785]
 35.3 :    1 : [6782]
 35.4 :    1 : [6841]
 35.9 :    7 : [6800, 6813, 6830, 6834, 6837, 6839, 6848]
 36.0 :    1 : [6820]
 36.2 :    4 : [6794, 6815, 6831, 6857]
 36.4 :    1 : [6829]
 36.7 :    1 : [6864]
 36.8 :    1 : [6773]
 36.9 :    1 : [6791]
 37.0 :    1 : [6853]
 37.3 :    1 : [6796]
 37.6 :    2 : [6771, 6775]
 37.8 :    1 : [6814]
 38.1 :    1 : [6789]
 38.2 :    2 : [6846, 6863]
 38.4 :    1 : [6787]
 38.5 :    2 : [6833, 6862]
 38.7 :    1 : [6809]
 38.9 :    2 : [6822, 6823]
 39.0 :    1 : [6768]
 39.2 :    4 : [6779, 6780, 6786, 6838]
 39.4 :    1 : [6845]
 39.5 :    3 : [6782, 6821, 6850]
 39.6 :    3 : [6785, 6808, 6813]
 39.7 :    1 : [6841]
 39.8 :    2 : [6777, 6794]
 39.9 :    1 : [6839]
 40.0 :    1 : [6840]
 40.1 :    1 : [6853]
 40.2 :    1 : [6802]
 40.7 :    1 : [6772]
 40.8 :    2 : [6796, 6834]
 40.9 :    1 : [6788]
 41.0 :    2 : [6812, 6824]
 41.1 :    1 : [6831]
 41.2 :    1 : [6789]
 41.6 :    2 : [6778, 6842]
 41.7 :    2 : [6792, 6793]
 41.9 :    1 : [6862]
 42.0 :    1 : [6798]
 42.1 :    1 : [6817]
 42.2 :    1 : [6846]
 42.6 :    2 : [6835, 6859]
 42.7 :    1 : [6860]
 42.8 :    3 : [6767, 6785, 6806]
 42.9 :    1 : [6863]
 43.0 :    1 : [6850]
 43.2 :    2 : [6769, 6773]
 43.4 :    2 : [6841, 6853]
 43.8 :    1 : [6791]
 43.9 :    2 : [6796, 6839]
 44.0 :    2 : [6772, 6802]
 44.1 :    1 : [6794]
 44.2 :    1 : [6771]
 44.4 :    1 : [6845]
 44.5 :    3 : [6781, 6831, 6852]
 44.6 :    1 : [6815]
 44.7 :    2 : [6786, 6808]
 44.8 :    1 : [6803]
 44.9 :    1 : [6843]
 45.0 :    1 : [6777]
 45.1 :    2 : [6804, 6828]
 45.2 :    3 : [6797, 6830, 6854]
 45.3 :    1 : [6789]
 45.5 :    1 : [6818]
 45.7 :    1 : [6864]
 45.9 :    1 : [6862]
 46.0 :    1 : [6793]
 46.2 :    2 : [6768, 6782]
 46.5 :    1 : [6834]
 46.6 :    2 : [6846, 6866]
 46.8 :    1 : [6794]
 46.9 :    2 : [6791, 6841]
 47.2 :    2 : [6785, 6788]
 47.6 :    2 : [6773, 6775]
 47.7 :    1 : [6831]
 47.8 :    1 : [6839]
 48.0 :    3 : [6800, 6850, 6863]
 48.2 :    1 : [6802]
 48.4 :    3 : [6813, 6835, 6865]
 48.5 :    2 : [6796, 6842]
 48.6 :    1 : [6769]
 48.7 :    1 : [6823]
 49.0 :    1 : [6771]
 49.1 :    5 : [6772, 6806, 6808, 6840, 6845]
 49.2 :    1 : [6853]
 49.3 :    1 : [6789]
 49.4 :    1 : [6793]
 49.7 :    1 : [6841]
 49.8 :    1 : [6843]
 50.0 :    1 : [6838]
 50.1 :    2 : [6781, 6862]
 50.2 :    1 : [6795]
 50.3 :    1 : [6834]
 50.5 :    1 : [6785]
 50.6 :    2 : [6787, 6804]
 50.7 :    1 : [6833]
 50.8 :    1 : [6797]
 50.9 :    1 : [6791]
 51.1 :    3 : [6794, 6796, 6846]
 51.3 :    2 : [6773, 6829]
 51.8 :    2 : [6801, 6819]
 51.9 :    1 : [6839]
 52.0 :    1 : [6782]
 52.4 :    2 : [6828, 6841]
 52.6 :    1 : [6771]
 52.7 :    1 : [6815]
 52.8 :    1 : [6788]
 52.9 :    2 : [6772, 6775]
 53.2 :    1 : [6789]
 53.4 :    1 : [6842]
 53.5 :    1 : [6809]
 53.6 :    2 : [6769, 6831]
 53.7 :    1 : [6778]
 53.9 :    1 : [6864]
 54.0 :    4 : [6768, 6784, 6862, 6863]
 54.2 :    1 : [6790]
 54.3 :    2 : [6797, 6846]
 54.4 :    1 : [6845]
 54.6 :    1 : [6834]
 54.7 :    1 : [6786]
 54.8 :    2 : [6794, 6850]
 54.9 :    2 : [6812, 6833]
 55.0 :    1 : [6823]
 55.1 :    1 : [6800]
 55.3 :    1 : [6781]
 55.4 :    2 : [6793, 6806]
 55.5 :    2 : [6835, 6839]
 55.7 :    1 : [6841]
 55.8 :    2 : [6788, 6791]
 55.9 :    1 : [6785]
 56.2 :    2 : [6803, 6816]
 56.3 :    1 : [6796]
 57.1 :    2 : [6817, 6853]
 57.2 :    3 : [6798, 6807, 6837]
 57.3 :    1 : [6777]
 57.5 :    3 : [6789, 6831, 6852]
 57.7 :    1 : [6772]
 57.8 :    2 : [6775, 6824]
 58.0 :    1 : [6768]
 58.2 :    1 : [6812]
 58.3 :    1 : [6813]
 58.6 :    3 : [6801, 6839, 6841]
 58.7 :    2 : [6794, 6800]
 58.8 :    3 : [6778, 6797, 6862]
 59.0 :    2 : [6822, 6845]
 59.2 :    1 : [6814]
 59.3 :    1 : [6802]
 59.5 :    1 : [6788]
 59.6 :    2 : [6781, 6818]
 59.8 :    2 : [6796, 6823]
 60.0 :    1 : [6866]
 60.1 :    3 : [6787, 6793, 6829]
 60.2 :    1 : [6846]
 60.5 :    1 : [6773]
 60.8 :    2 : [6785, 6833]
 60.9 :    4 : [6769, 6799, 6816, 6850]
 61.0 :    2 : [6791, 6834]
 61.3 :    2 : [6854, 6864]
 61.5 :    1 : [6824]
 61.6 :    1 : [6857]
 61.7 :    1 : [6794]
 61.9 :    3 : [6789, 6830, 6845]
 62.0 :    1 : [6803]
 62.1 :    1 : [6768]
 62.2 :    1 : [6800]
 62.4 :    1 : [6797]
 62.6 :    3 : [6831, 6841, 6843]
 62.8 :    1 : [6786]
 63.0 :    1 : [6815]
 63.1 :    1 : [6835]
 63.3 :    2 : [6809, 6819]
 63.9 :    2 : [6771, 6850]
 64.0 :    1 : [6796]
 64.1 :    1 : [6785]
 64.3 :    1 : [6832]
 64.4 :    2 : [6775, 6839]
 64.5 :    1 : [6863]
 64.6 :    1 : [6808]
 64.7 :    1 : [6829]
 64.8 :    1 : [6823]
 64.9 :    1 : [6833]
 65.0 :    2 : [6834, 6846]
 65.2 :    1 : [6845]
 65.3 :    1 : [6795]
 65.4 :    1 : [6768]
