Name: DR  [5HT], Title: Raster plot from device '20296', Hist: False
212.7 :    1 : [259]
215.5 :    1 : [259]
215.7 :    1 : [252]
215.8 :    1 : [257]
217.3 :    1 : [256]
218.6 :    1 : [259]
218.8 :    1 : [257]
220.5 :    1 : [252]
220.9 :    1 : [255]
221.6 :    1 : [257]
221.9 :    1 : [256]
222.9 :    1 : [259]
224.1 :    1 : [252]
225.4 :    1 : [256]
226.5 :    1 : [259]
227.1 :    1 : [252]
228.6 :    1 : [255]
229.5 :    1 : [259]
229.6 :    1 : [256]
231.9 :    1 : [252]
232.8 :    1 : [256]
233.3 :    1 : [259]
236.2 :    1 : [252]
237.3 :    1 : [259]
238.2 :    2 : [254, 257]
238.3 :    1 : [256]
239.7 :    1 : [255]
240.6 :    1 : [259]
241.3 :    1 : [256]
241.4 :    1 : [252]
242.1 :    1 : [257]
243.3 :    1 : [254]
244.1 :    1 : [256]
245.0 :    1 : [259]
246.9 :    1 : [252]
247.3 :    1 : [254]
247.6 :    1 : [255]
249.5 :    1 : [252]
251.1 :    1 : [259]
252.6 :    1 : [257]
252.8 :    2 : [255, 256]
253.6 :    1 : [252]
254.5 :    1 : [259]
256.4 :    1 : [257]
256.5 :    1 : [256]
257.0 :    1 : [252]
257.2 :    1 : [254]
257.4 :    1 : [259]
259.4 :    1 : [256]
260.5 :    1 : [254]
260.6 :    1 : [252]
261.0 :    1 : [259]
261.3 :    1 : [257]
262.3 :    1 : [256]
264.3 :    1 : [254]
264.7 :    1 : [252]
265.1 :    1 : [256]
265.9 :    1 : [259]
266.4 :    1 : [255]
267.7 :    1 : [252]
268.1 :    1 : [256]
268.3 :    1 : [257]
269.0 :    1 : [259]
270.3 :    1 : [252]
273.3 :    1 : [252]
274.8 :    1 : [259]
275.7 :    1 : [256]
276.8 :    1 : [252]
277.9 :    1 : [254]
279.8 :    1 : [252]
280.0 :    1 : [259]
280.5 :    1 : [256]
282.1 :    1 : [255]
282.8 :    1 : [252]
284.0 :    1 : [259]
285.8 :    1 : [252]
286.4 :    1 : [255]
286.5 :    1 : [256]
286.6 :    1 : [257]
286.7 :    1 : [259]
288.7 :    1 : [252]
289.9 :    1 : [255]
291.3 :    1 : [252]
292.7 :    1 : [259]
294.2 :    1 : [255]
294.5 :    1 : [252]
294.8 :    1 : [256]
296.4 :    1 : [259]
297.2 :    1 : [252]
298.3 :    1 : [256]
299.9 :    2 : [252, 255]
300.5 :    1 : [257]
301.7 :    1 : [254]
302.6 :    1 : [256]
303.3 :    1 : [259]
303.4 :    1 : [252]
304.8 :    1 : [255]
305.0 :    1 : [257]
305.5 :    1 : [256]
306.4 :    1 : [252]
306.6 :    1 : [259]
308.7 :    1 : [257]
309.0 :    2 : [252, 256]
310.2 :    1 : [259]
