Name: MnR  [5HT], Title: Raster plot from device '20289', Hist: False
212.1 :    1 : [187]
212.5 :    1 : [181]
213.8 :    1 : [185]
214.1 :    1 : [182]
215.0 :    1 : [183]
215.7 :    1 : [187]
216.4 :    1 : [185]
217.6 :    1 : [190]
219.2 :    1 : [183]
219.8 :    1 : [187]
220.4 :    1 : [184]
221.6 :    1 : [185]
222.1 :    1 : [190]
223.5 :    2 : [182, 187]
223.7 :    1 : [183]
225.2 :    1 : [185]
227.5 :    1 : [187]
229.2 :    1 : [181]
230.9 :    1 : [187]
232.6 :    1 : [186]
232.9 :    1 : [190]
234.9 :    1 : [181]
235.3 :    1 : [184]
235.4 :    1 : [183]
235.9 :    1 : [182]
236.3 :    1 : [186]
236.9 :    1 : [187]
239.0 :    1 : [182]
239.6 :    1 : [186]
240.0 :    1 : [190]
240.4 :    1 : [185]
241.7 :    1 : [184]
241.9 :    1 : [183]
243.2 :    1 : [186]
243.6 :    1 : [185]
244.8 :    1 : [187]
246.5 :    1 : [190]
246.6 :    1 : [182]
246.7 :    1 : [185]
247.0 :    1 : [186]
247.5 :    1 : [187]
249.0 :    1 : [183]
250.1 :    1 : [187]
250.8 :    1 : [185]
251.5 :    1 : [181]
251.8 :    1 : [184]
253.7 :    1 : [183]
254.0 :    1 : [186]
254.7 :    1 : [181]
255.6 :    1 : [185]
257.9 :    1 : [187]
258.3 :    2 : [184, 185]
258.9 :    1 : [190]
261.7 :    1 : [183]
262.2 :    1 : [186]
263.3 :    1 : [184]
264.5 :    1 : [187]
264.6 :    1 : [182]
264.9 :    1 : [181]
266.2 :    1 : [186]
266.4 :    1 : [185]
266.9 :    1 : [183]
267.4 :    1 : [187]
269.0 :    1 : [181]
269.4 :    1 : [184]
269.8 :    1 : [182]
272.3 :    1 : [185]
273.3 :    3 : [183, 186, 187]
274.2 :    1 : [181]
274.3 :    1 : [184]
276.5 :    1 : [187]
276.9 :    1 : [190]
277.6 :    2 : [183, 184]
278.7 :    1 : [182]
279.0 :    2 : [185, 186]
279.9 :    1 : [187]
280.3 :    1 : [190]
281.2 :    1 : [184]
282.7 :    1 : [187]
282.9 :    1 : [182]
285.2 :    1 : [187]
285.5 :    1 : [184]
286.4 :    1 : [185]
286.9 :    1 : [183]
289.6 :    1 : [185]
291.0 :    1 : [187]
291.3 :    2 : [183, 190]
293.5 :    1 : [185]
293.6 :    1 : [182]
295.2 :    1 : [190]
295.4 :    1 : [186]
297.1 :    1 : [184]
297.2 :    1 : [185]
297.6 :    1 : [187]
299.3 :    1 : [183]
300.2 :    1 : [185]
300.6 :    1 : [187]
300.8 :    1 : [182]
301.1 :    1 : [184]
302.5 :    1 : [183]
303.0 :    1 : [190]
304.6 :    1 : [185]
304.9 :    1 : [187]
305.2 :    1 : [186]
306.1 :    1 : [181]
306.9 :    1 : [183]
308.1 :    1 : [185]
308.2 :    1 : [190]
308.8 :    1 : [187]
311.6 :    1 : [181]
311.7 :    2 : [184, 185]
312.9 :    1 : [187]
